CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.114  |  0.006  |  0.114  |  0.114  
  0.271  |  0.019  |  0.271  |  0.271  
  0.382  |  0.038  |  0.382  |  0.382  
  0.468  |  0.062  |  0.468  |  0.468  
  0.530  |  0.088  |  0.529  |  0.530  
  0.570  |  0.117  |  0.569  |  0.570  
  0.613  |  0.147  |  0.613  |  0.613  
  0.619  |  0.178  |  0.619  |  0.619  
  0.650  |  0.211  |  0.649  |  0.650  
  0.665  |  0.244  |  0.665  |  0.665  
  0.677  |  0.278  |  0.677  |  0.677  
  0.680  |  0.312  |  0.680  |  0.680  
  0.690  |  0.346  |  0.689  |  0.690  
  0.693  |  0.381  |  0.693  |  0.693  
  0.699  |  0.416  |  0.699  |  0.699  
  0.699  |  0.451  |  0.699  |  0.699  
  0.693  |  0.486  |  0.693  |  0.693  
  0.699  |  0.520  |  0.699  |  0.699  
  0.702  |  0.556  |  0.702  |  0.702  
  0.702  |  0.591  |  0.702  |  0.702  
  0.699  |  0.626  |  0.699  |  0.699  
  0.699  |  0.661  |  0.699  |  0.699  
  0.702  |  0.696  |  0.702  |  0.702  
  0.702  |  0.731  |  0.702  |  0.702  
  0.699  |  0.766  |  0.699  |  0.699  
  0.702  |  0.801  |  0.702  |  0.702  
  0.699  |  0.836  |  0.699  |  0.699  
  0.702  |  0.871  |  0.702  |  0.702  
  0.699  |  0.906  |  0.699  |  0.699  
  0.708  |  0.941  |  0.708  |  0.708  
  0.696  |  0.976  |  0.696  |  0.696  
  0.696  |  1.011  |  0.696  |  0.696  
  0.699  |  1.046  |  0.699  |  0.699  
  0.702  |  1.081  |  0.702  |  0.702  
  0.702  |  1.116  |  0.702  |  0.702  
  0.696  |  1.151  |  0.696  |  0.696  
  0.699  |  1.186  |  0.699  |  0.699  
  0.699  |  1.221  |  0.699  |  0.699  
  0.702  |  1.256  |  0.702  |  0.702  
  0.702  |  1.291  |  0.702  |  0.702  
  0.699  |  1.326  |  0.699  |  0.699  
  0.705  |  1.361  |  0.705  |  0.705  
  0.702  |  1.396  |  0.702  |  0.702  
  0.690  |  1.431  |  0.690  |  0.690  
  0.705  |  1.466  |  0.705  |  0.705  
  0.702  |  1.501  |  0.702  |  0.702  
  0.699  |  1.536  |  0.699  |  0.699  
  0.708  |  1.571  |  0.708  |  0.708  
  0.699  |  1.606  |  0.699  |  0.699  
  0.699  |  1.641  |  0.699  |  0.699  
  0.702  |  1.676  |  0.702  |  0.702  
  0.696  |  1.711  |  0.696  |  0.696  
  0.705  |  1.746  |  0.705  |  0.705  
  0.693  |  1.781  |  0.693  |  0.693  
  0.702  |  1.816  |  0.702  |  0.702  
  0.708  |  1.851  |  0.708  |  0.708  
  0.693  |  1.886  |  0.693  |  0.693  
  0.699  |  1.921  |  0.699  |  0.699  
  0.699  |  1.956  |  0.699  |  0.699  
  0.702  |  1.991  |  0.702  |  0.702  
