CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.216  |  0.269  |  0.216  |  0.216  
  0.216  |  0.271  |  0.216  |  0.216  
  0.231  |  0.274  |  0.239  |  0.223  
  0.200  |  0.276  |  0.200  |  0.200  
  0.216  |  0.278  |  0.223  |  0.208  
  0.200  |  0.280  |  0.208  |  0.192  
  0.231  |  0.282  |  0.231  |  0.231  
  0.216  |  0.284  |  0.216  |  0.216  
  0.216  |  0.286  |  0.216  |  0.216  
  0.200  |  0.288  |  0.200  |  0.200  
  0.216  |  0.291  |  0.208  |  0.223  
  0.200  |  0.293  |  0.208  |  0.192  
  0.231  |  0.295  |  0.231  |  0.231  
  0.200  |  0.297  |  0.200  |  0.200  
  0.200  |  0.299  |  0.208  |  0.192  
  0.231  |  0.301  |  0.223  |  0.239  
  0.200  |  0.303  |  0.200  |  0.200  
  0.231  |  0.306  |  0.239  |  0.223  
  0.200  |  0.308  |  0.208  |  0.192  
  0.200  |  0.312  |  0.208  |  0.192  
  0.231  |  0.314  |  0.231  |  0.231  
  0.200  |  0.316  |  0.208  |  0.192  
  0.216  |  0.318  |  0.216  |  0.216  
  0.231  |  0.320  |  0.239  |  0.223  
  0.216  |  0.322  |  0.216  |  0.216  
  0.216  |  0.325  |  0.216  |  0.216  
  0.200  |  0.327  |  0.200  |  0.200  
  0.231  |  0.329  |  0.239  |  0.223  
  0.200  |  0.331  |  0.200  |  0.200  
  0.216  |  0.333  |  0.208  |  0.223  
  0.200  |  0.335  |  0.208  |  0.192  
  0.216  |  0.337  |  0.223  |  0.208  
  0.200  |  0.339  |  0.208  |  0.192  
  0.231  |  0.342  |  0.231  |  0.231  
  0.200  |  0.344  |  0.208  |  0.192  
  0.216  |  0.346  |  0.208  |  0.223  
  0.200  |  0.348  |  0.208  |  0.192  
  0.216  |  0.350  |  0.216  |  0.216  
  0.200  |  0.352  |  0.208  |  0.192  
  0.216  |  0.354  |  0.223  |  0.208  
  0.216  |  0.356  |  0.208  |  0.223  
  0.200  |  0.358  |  0.208  |  0.192  
  0.216  |  0.360  |  0.216  |  0.216  
  0.216  |  0.362  |  0.216  |  0.216  
  0.216  |  0.365  |  0.223  |  0.208  
  0.216  |  0.367  |  0.216  |  0.216  
  0.216  |  0.369  |  0.216  |  0.216  
  0.216  |  0.371  |  0.216  |  0.216  
  0.216  |  0.373  |  0.216  |  0.216  
  0.216  |  0.375  |  0.223  |  0.208  
  0.216  |  0.377  |  0.216  |  0.216  
  0.200  |  0.379  |  0.200  |  0.200  
  0.216  |  0.382  |  0.223  |  0.208  
  0.216  |  0.384  |  0.216  |  0.216  
  0.216  |  0.386  |  0.208  |  0.223  
  0.200  |  0.388  |  0.208  |  0.192  
  0.216  |  0.390  |  0.223  |  0.208  
  0.216  |  0.394  |  0.216  |  0.216  
  0.216  |  0.394  |  0.216  |  0.216  
  0.200  |  0.399  |  0.208  |  0.192  
  0.216  |  0.401  |  0.216  |  0.216  
  0.216  |  0.403  |  0.223  |  0.208  
  0.216  |  0.405  |  0.216  |  0.216  
  0.216  |  0.407  |  0.216  |  0.216  
  0.216  |  0.409  |  0.223  |  0.208  
  0.200  |  0.411  |  0.192  |  0.208  
  0.216  |  0.413  |  0.216  |  0.216  
  0.216  |  0.416  |  0.216  |  0.216  
  0.216  |  0.418  |  0.216  |  0.216  
  0.200  |  0.420  |  0.208  |  0.192  
  0.231  |  0.422  |  0.231  |  0.231  
  0.200  |  0.424  |  0.208  |  0.192  
  0.216  |  0.426  |  0.216  |  0.216  
  0.200  |  0.428  |  0.208  |  0.192  
  0.231  |  0.431  |  0.231  |  0.231  
  0.200  |  0.433  |  0.208  |  0.192  
  0.216  |  0.435  |  0.216  |  0.216  
  0.200  |  0.437  |  0.192  |  0.208  
  0.216  |  0.439  |  0.223  |  0.208  
  0.216  |  0.441  |  0.216  |  0.216  
  0.216  |  0.443  |  0.223  |  0.208  
  0.216  |  0.445  |  0.216  |  0.216  
  0.231  |  0.448  |  0.231  |  0.231  
  0.185  |  0.449  |  0.192  |  0.177  
  0.216  |  0.452  |  0.223  |  0.208  
  0.200  |  0.454  |  0.192  |  0.208  
  0.231  |  0.456  |  0.231  |  0.231  
  0.216  |  0.458  |  0.216  |  0.216  
  0.200  |  0.462  |  0.208  |  0.192  
  0.216  |  0.464  |  0.208  |  0.223  
  0.200  |  0.466  |  0.208  |  0.192  
  0.216  |  0.468  |  0.223  |  0.208  
  0.216  |  0.471  |  0.216  |  0.216  
  0.216  |  0.473  |  0.223  |  0.208  
  0.200  |  0.475  |  0.208  |  0.192  
  0.231  |  0.477  |  0.231  |  0.231  
  0.200  |  0.479  |  0.192  |  0.208  
  0.216  |  0.481  |  0.216  |  0.216  
  0.216  |  0.483  |  0.223  |  0.208  
  0.216  |  0.485  |  0.216  |  0.216  
  0.216  |  0.488  |  0.216  |  0.216  
  0.216  |  0.490  |  0.223  |  0.208  
  0.200  |  0.492  |  0.208  |  0.192  
  0.200  |  0.494  |  0.208  |  0.192  
