CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.268  |  0.013  |  0.268  |  0.268  
  0.514  |  0.039  |  0.514  |  0.514  
  0.496  |  0.064  |  0.496  |  0.496  
  0.486  |  0.088  |  0.486  |  0.487  
  0.520  |  0.114  |  0.520  |  0.521  
  0.557  |  0.142  |  0.557  |  0.557  
  0.582  |  0.171  |  0.582  |  0.582  
  0.594  |  0.201  |  0.594  |  0.594  
  0.607  |  0.231  |  0.606  |  0.607  
  0.625  |  0.262  |  0.625  |  0.625  
  0.634  |  0.294  |  0.634  |  0.634  
  0.643  |  0.326  |  0.643  |  0.644  
  0.653  |  0.359  |  0.653  |  0.653  
  0.659  |  0.392  |  0.659  |  0.659  
  0.662  |  0.425  |  0.662  |  0.662  
  0.677  |  0.459  |  0.677  |  0.677  
  0.668  |  0.492  |  0.668  |  0.668  
  0.680  |  0.526  |  0.680  |  0.681  
  0.680  |  0.560  |  0.680  |  0.681  
  0.683  |  0.595  |  0.683  |  0.684  
  0.687  |  0.629  |  0.686  |  0.687  
  0.687  |  0.663  |  0.686  |  0.687  
  0.693  |  0.698  |  0.693  |  0.693  
  0.690  |  0.732  |  0.689  |  0.690  
  0.693  |  0.767  |  0.693  |  0.693  
  0.693  |  0.802  |  0.693  |  0.693  
  0.696  |  0.836  |  0.696  |  0.696  
  0.696  |  0.871  |  0.696  |  0.696  
  0.696  |  0.906  |  0.696  |  0.696  
  0.699  |  0.941  |  0.699  |  0.699  
  0.699  |  0.976  |  0.699  |  0.699  
  0.708  |  1.011  |  0.708  |  0.708  
  0.687  |  1.046  |  0.687  |  0.687  
  0.696  |  1.080  |  0.696  |  0.696  
  0.702  |  1.115  |  0.702  |  0.702  
  0.702  |  1.151  |  0.702  |  0.702  
  0.699  |  1.185  |  0.699  |  0.699  
  0.699  |  1.220  |  0.700  |  0.697  
  0.699  |  1.255  |  0.699  |  0.699  
  0.699  |  1.290  |  0.699  |  0.699  
  0.702  |  1.325  |  0.702  |  0.702  
  0.699  |  1.360  |  0.699  |  0.699  
  0.699  |  1.395  |  0.699  |  0.699  
  0.699  |  1.430  |  0.699  |  0.699  
  0.702  |  1.465  |  0.702  |  0.702  
  0.702  |  1.500  |  0.702  |  0.702  
  0.705  |  1.536  |  0.707  |  0.703  
  0.696  |  1.570  |  0.696  |  0.696  
  0.696  |  1.605  |  0.696  |  0.696  
  0.705  |  1.640  |  0.705  |  0.705  
  0.696  |  1.675  |  0.696  |  0.696  
  0.705  |  1.711  |  0.705  |  0.705  
  0.696  |  1.745  |  0.697  |  0.694  
  0.693  |  1.780  |  0.694  |  0.691  
  0.705  |  1.815  |  0.707  |  0.703  
  0.699  |  1.850  |  0.700  |  0.697  
  0.708  |  1.886  |  0.710  |  0.707  
  0.696  |  1.920  |  0.696  |  0.696  
  0.702  |  1.955  |  0.703  |  0.700  
  0.696  |  1.990  |  0.696  |  0.696  
