CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.015  |  0.000  |  0.023  |  0.008  
  0.092  |  0.001  |  0.092  |  0.092  
  0.154  |  0.003  |  0.154  |  0.154  
  0.185  |  0.004  |  0.192  |  0.177  
  0.231  |  0.007  |  0.231  |  0.231  
  0.246  |  0.009  |  0.246  |  0.246  
  0.231  |  0.012  |  0.239  |  0.223  
  0.246  |  0.014  |  0.246  |  0.246  
  0.292  |  0.017  |  0.292  |  0.292  
  0.292  |  0.020  |  0.300  |  0.285  
  0.277  |  0.023  |  0.277  |  0.277  
  0.323  |  0.026  |  0.323  |  0.323  
  0.308  |  0.029  |  0.316  |  0.300  
  0.323  |  0.032  |  0.323  |  0.323  
  0.323  |  0.035  |  0.331  |  0.316  
  0.354  |  0.039  |  0.362  |  0.346  
  0.323  |  0.042  |  0.331  |  0.316  
  0.369  |  0.046  |  0.369  |  0.369  
  0.354  |  0.049  |  0.354  |  0.354  
  0.369  |  0.053  |  0.369  |  0.369  
  0.354  |  0.057  |  0.362  |  0.346  
  0.416  |  0.061  |  0.423  |  0.408  
  0.369  |  0.064  |  0.377  |  0.362  
  0.385  |  0.068  |  0.377  |  0.393  
  0.385  |  0.072  |  0.385  |  0.385  
  0.416  |  0.076  |  0.416  |  0.416  
  0.416  |  0.081  |  0.416  |  0.416  
  0.416  |  0.089  |  0.423  |  0.408  
  0.416  |  0.089  |  0.423  |  0.408  
  0.431  |  0.098  |  0.431  |  0.431  
  0.446  |  0.102  |  0.454  |  0.439  
  0.431  |  0.106  |  0.439  |  0.423  
  0.477  |  0.111  |  0.477  |  0.477  
  0.446  |  0.116  |  0.454  |  0.439  
  0.477  |  0.120  |  0.477  |  0.477  
  0.446  |  0.125  |  0.439  |  0.454  
  0.477  |  0.130  |  0.477  |  0.477  
  0.462  |  0.134  |  0.470  |  0.454  
  0.523  |  0.139  |  0.531  |  0.516  
  0.477  |  0.144  |  0.485  |  0.470  
  0.493  |  0.149  |  0.485  |  0.500  
  0.493  |  0.154  |  0.500  |  0.485  
  0.508  |  0.159  |  0.508  |  0.508  
  0.523  |  0.164  |  0.523  |  0.523  
  0.508  |  0.169  |  0.508  |  0.508  
  0.477  |  0.174  |  0.485  |  0.470  
  0.554  |  0.180  |  0.562  |  0.546  
  0.477  |  0.185  |  0.485  |  0.470  
  0.554  |  0.190  |  0.554  |  0.554  
  0.508  |  0.195  |  0.508  |  0.508  
  0.570  |  0.201  |  0.570  |  0.570  
  0.523  |  0.206  |  0.523  |  0.523  
  0.554  |  0.212  |  0.554  |  0.554  
  0.539  |  0.217  |  0.539  |  0.539  
  0.554  |  0.223  |  0.554  |  0.554  
  0.539  |  0.228  |  0.539  |  0.539  
  0.570  |  0.234  |  0.570  |  0.570  
  0.554  |  0.239  |  0.554  |  0.554  
  0.570  |  0.245  |  0.570  |  0.570  
  0.554  |  0.250  |  0.562  |  0.546  
  0.570  |  0.256  |  0.570  |  0.570  
  0.570  |  0.262  |  0.570  |  0.570  
  0.554  |  0.267  |  0.562  |  0.546  
  0.554  |  0.273  |  0.562  |  0.546  
  0.616  |  0.279  |  0.616  |  0.616  
  0.585  |  0.285  |  0.593  |  0.577  
  0.554  |  0.290  |  0.554  |  0.554  
  0.523  |  0.302  |  0.516  |  0.531  
  0.600  |  0.308  |  0.600  |  0.600  
  0.570  |  0.313  |  0.570  |  0.570  
  0.631  |  0.320  |  0.631  |  0.631  
  0.570  |  0.325  |  0.577  |  0.562  
  0.616  |  0.332  |  0.616  |  0.616  
  0.616  |  0.338  |  0.623  |  0.608  
  0.600  |  0.344  |  0.600  |  0.600  
  0.600  |  0.350  |  0.608  |  0.593  
  0.647  |  0.356  |  0.647  |  0.647  
  0.631  |  0.362  |  0.631  |  0.631  
  0.600  |  0.368  |  0.600  |  0.600  
  0.616  |  0.375  |  0.616  |  0.616  
  0.631  |  0.381  |  0.631  |  0.631  
  0.600  |  0.387  |  0.608  |  0.593  
  0.616  |  0.393  |  0.623  |  0.608  
  0.647  |  0.400  |  0.647  |  0.647  
  0.600  |  0.406  |  0.608  |  0.593  
  0.631  |  0.412  |  0.639  |  0.623  
  0.616  |  0.418  |  0.616  |  0.616  
  0.647  |  0.425  |  0.639  |  0.654  
  0.600  |  0.431  |  0.593  |  0.608  
  0.647  |  0.437  |  0.647  |  0.647  
  0.616  |  0.443  |  0.616  |  0.616  
  0.662  |  0.450  |  0.662  |  0.662  
  0.662  |  0.456  |  0.662  |  0.662  
  0.616  |  0.463  |  0.616  |  0.616  
  0.616  |  0.469  |  0.616  |  0.616  
  0.662  |  0.475  |  0.662  |  0.662  
  0.647  |  0.482  |  0.647  |  0.647  
  0.647  |  0.488  |  0.647  |  0.647  
  0.600  |  0.494  |  0.608  |  0.593  
  0.724  |  0.501  |  0.724  |  0.724  
  0.585  |  0.507  |  0.577  |  0.593  
  0.677  |  0.514  |  0.677  |  0.677  
  0.647  |  0.521  |  0.647  |  0.647  
