CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.068  |  0.001  | -0.001  
  0.154  |  0.069  |  0.152  |  0.156  
  0.123  |  0.070  |  0.122  |  0.125  
  0.000  |  0.070  | -0.000  |  0.000  
  0.000  |  0.070  |  0.000  | -0.000  
  0.123  |  0.072  |  0.122  |  0.124  
  0.154  |  0.073  |  0.153  |  0.155  
  0.062  |  0.074  |  0.061  |  0.062  
  0.015  |  0.074  |  0.015  |  0.015  
  0.123  |  0.075  |  0.124  |  0.123  
  0.185  |  0.077  |  0.184  |  0.185  
  0.108  |  0.078  |  0.108  |  0.108  
  0.031  |  0.078  |  0.030  |  0.032  
  0.092  |  0.079  |  0.092  |  0.093  
  0.231  |  0.082  |  0.231  |  0.231  
  0.154  |  0.083  |  0.154  |  0.154  
  0.046  |  0.084  |  0.046  |  0.046  
  0.092  |  0.085  |  0.092  |  0.093  
  0.216  |  0.087  |  0.216  |  0.215  
  0.200  |  0.089  |  0.200  |  0.200  
  0.031  |  0.089  |  0.031  |  0.030  
  0.108  |  0.090  |  0.107  |  0.108  
  0.262  |  0.093  |  0.262  |  0.261  
  0.231  |  0.095  |  0.230  |  0.231  
  0.077  |  0.096  |  0.077  |  0.077  
  0.092  |  0.097  |  0.092  |  0.092  
  0.231  |  0.099  |  0.231  |  0.231  
  0.277  |  0.102  |  0.277  |  0.277  
  0.169  |  0.103  |  0.168  |  0.170  
  0.077  |  0.104  |  0.077  |  0.077  
  0.169  |  0.106  |  0.169  |  0.170  
  0.292  |  0.109  |  0.293  |  0.292  
  0.246  |  0.111  |  0.246  |  0.246  
  0.123  |  0.113  |  0.122  |  0.124  
  0.154  |  0.114  |  0.154  |  0.154  
  0.277  |  0.119  |  0.278  |  0.277  
  0.200  |  0.121  |  0.199  |  0.201  
  0.169  |  0.123  |  0.169  |  0.169  
  0.216  |  0.125  |  0.216  |  0.215  
  0.292  |  0.128  |  0.292  |  0.293  
 -0.200  |  0.126  | -0.200  | -0.200  
  0.216  |  0.128  |  0.215  |  0.216  
  0.246  |  0.131  |  0.246  |  0.246  
  0.015  |  0.131  |  0.015  |  0.015  
 -0.015  |  0.131  | -0.016  | -0.015  
  0.169  |  0.132  |  0.170  |  0.168  
  0.262  |  0.135  |  0.262  |  0.262  
  0.123  |  0.136  |  0.122  |  0.124  
  0.015  |  0.136  |  0.008  |  0.023  
  0.092  |  0.137  |  0.085  |  0.100  
