CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.062  |  0.001  |  0.062  |  0.062  
  0.231  |  0.003  |  0.231  |  0.231  
  0.308  |  0.006  |  0.300  |  0.316  
  0.308  |  0.009  |  0.308  |  0.308  
  0.246  |  0.012  |  0.254  |  0.239  
  0.323  |  0.015  |  0.331  |  0.316  
  0.400  |  0.019  |  0.400  |  0.400  
  0.431  |  0.023  |  0.423  |  0.439  
  0.416  |  0.027  |  0.416  |  0.416  
  0.339  |  0.031  |  0.346  |  0.331  
  0.431  |  0.035  |  0.439  |  0.423  
  0.508  |  0.040  |  0.508  |  0.508  
  0.462  |  0.045  |  0.462  |  0.462  
  0.416  |  0.049  |  0.423  |  0.408  
  0.446  |  0.053  |  0.454  |  0.439  
  0.508  |  0.058  |  0.516  |  0.500  
  0.493  |  0.063  |  0.485  |  0.500  
  0.462  |  0.073  |  0.462  |  0.462  
  0.508  |  0.078  |  0.508  |  0.508  
  0.539  |  0.083  |  0.539  |  0.539  
  0.446  |  0.088  |  0.454  |  0.439  
  0.493  |  0.093  |  0.493  |  0.493  
  0.508  |  0.098  |  0.508  |  0.508  
  0.523  |  0.103  |  0.523  |  0.523  
  0.554  |  0.109  |  0.554  |  0.554  
  0.446  |  0.113  |  0.446  |  0.446  
  0.508  |  0.118  |  0.508  |  0.508  
  0.508  |  0.123  |  0.516  |  0.500  
  0.585  |  0.129  |  0.585  |  0.585  
  0.462  |  0.134  |  0.454  |  0.470  
  0.493  |  0.139  |  0.493  |  0.493  
  0.508  |  0.144  |  0.516  |  0.500  
  0.554  |  0.149  |  0.546  |  0.562  
  0.508  |  0.154  |  0.500  |  0.516  
  0.493  |  0.159  |  0.500  |  0.485  
  0.508  |  0.164  |  0.516  |  0.500  
  0.570  |  0.170  |  0.570  |  0.570  
  0.477  |  0.175  |  0.470  |  0.485  
  0.508  |  0.180  |  0.500  |  0.516  
  0.493  |  0.185  |  0.500  |  0.485  
  0.570  |  0.190  |  0.577  |  0.562  
  0.508  |  0.195  |  0.508  |  0.508  
  0.508  |  0.201  |  0.500  |  0.516  
  0.539  |  0.206  |  0.539  |  0.539  
  0.508  |  0.211  |  0.508  |  0.508  
  0.462  |  0.216  |  0.470  |  0.454  
  0.523  |  0.221  |  0.523  |  0.523  
  0.600  |  0.227  |  0.600  |  0.600  
  0.523  |  0.232  |  0.523  |  0.523  
  0.462  |  0.241  |  0.462  |  0.462  
  0.554  |  0.246  |  0.554  |  0.554  
  0.554  |  0.252  |  0.554  |  0.554  
  0.431  |  0.256  |  0.431  |  0.431  
  0.462  |  0.261  |  0.462  |  0.462  
  0.493  |  0.266  |  0.485  |  0.500  
  0.570  |  0.271  |  0.570  |  0.570  
  0.508  |  0.276  |  0.509  |  0.507  
  0.477  |  0.281  |  0.476  |  0.478  
  0.462  |  0.286  |  0.470  |  0.454  
