CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.705  |  4.453  |  0.703  |  0.707  
  0.702  |  4.488  |  0.700  |  0.703  
  0.708  |  4.524  |  0.707  |  0.710  
  0.696  |  4.559  |  0.696  |  0.696  
  0.702  |  4.594  |  0.702  |  0.702  
  0.699  |  4.629  |  0.699  |  0.699  
  0.696  |  4.663  |  0.696  |  0.696  
  0.702  |  4.698  |  0.702  |  0.702  
  0.696  |  4.733  |  0.696  |  0.696  
  0.702  |  4.768  |  0.702  |  0.702  
  0.702  |  4.803  |  0.702  |  0.702  
  0.699  |  4.838  |  0.700  |  0.697  
  0.702  |  4.873  |  0.702  |  0.702  
  0.702  |  4.909  |  0.702  |  0.702  
  0.702  |  4.944  |  0.702  |  0.702  
  0.702  |  4.979  |  0.702  |  0.702  
  0.696  |  5.014  |  0.696  |  0.696  
  0.696  |  5.048  |  0.696  |  0.696  
  0.696  |  5.083  |  0.696  |  0.696  
  0.702  |  5.118  |  0.702  |  0.702  
  0.708  |  5.154  |  0.708  |  0.708  
  0.702  |  5.189  |  0.702  |  0.702  
  0.702  |  5.224  |  0.702  |  0.702  
  0.699  |  5.259  |  0.699  |  0.699  
  0.693  |  5.293  |  0.693  |  0.693  
  0.699  |  5.328  |  0.700  |  0.697  
  0.693  |  5.363  |  0.693  |  0.693  
  0.702  |  5.398  |  0.702  |  0.702  
  0.705  |  5.433  |  0.707  |  0.703  
  0.708  |  5.469  |  0.708  |  0.708  
  0.705  |  5.504  |  0.705  |  0.705  
  0.696  |  5.539  |  0.694  |  0.697  
  0.693  |  5.573  |  0.694  |  0.691  
  0.696  |  5.608  |  0.696  |  0.696  
  0.696  |  5.643  |  0.697  |  0.694  
  0.705  |  5.678  |  0.707  |  0.703  
  0.714  |  5.714  |  0.714  |  0.714  
  0.693  |  5.749  |  0.691  |  0.694  
  0.693  |  5.783  |  0.691  |  0.694  
  0.702  |  5.818  |  0.700  |  0.703  
  0.708  |  5.854  |  0.708  |  0.708  
  0.696  |  5.889  |  0.697  |  0.694  
  0.696  |  5.923  |  0.697  |  0.694  
  0.699  |  5.958  |  0.697  |  0.700  
  0.699  |  5.993  |  0.700  |  0.697  
  0.702  |  6.028  |  0.700  |  0.703  
  0.702  |  6.063  |  0.702  |  0.702  
  0.702  |  6.098  |  0.700  |  0.703  
  0.702  |  6.134  |  0.702  |  0.702  
  0.702  |  6.169  |  0.702  |  0.702  
  0.699  |  6.204  |  0.700  |  0.697  
  0.693  |  6.238  |  0.693  |  0.693  
  0.699  |  6.273  |  0.697  |  0.700  
