CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.369  |  0.430  |  0.369  |  0.369  
  0.292  |  0.436  |  0.292  |  0.292  
  0.339  |  0.440  |  0.331  |  0.346  
  0.339  |  0.443  |  0.346  |  0.331  
  0.339  |  0.447  |  0.339  |  0.339  
  0.323  |  0.450  |  0.323  |  0.323  
  0.339  |  0.453  |  0.339  |  0.339  
  0.339  |  0.457  |  0.339  |  0.339  
  0.339  |  0.460  |  0.331  |  0.346  
  0.308  |  0.463  |  0.308  |  0.308  
  0.339  |  0.466  |  0.346  |  0.331  
  0.323  |  0.470  |  0.323  |  0.323  
  0.339  |  0.473  |  0.339  |  0.339  
  0.339  |  0.476  |  0.339  |  0.339  
  0.323  |  0.480  |  0.323  |  0.323  
  0.339  |  0.483  |  0.346  |  0.331  
  0.354  |  0.487  |  0.354  |  0.354  
  0.308  |  0.490  |  0.316  |  0.300  
  0.339  |  0.493  |  0.346  |  0.331  
  0.323  |  0.496  |  0.323  |  0.323  
  0.354  |  0.500  |  0.354  |  0.354  
  0.323  |  0.503  |  0.323  |  0.323  
  0.339  |  0.506  |  0.339  |  0.339  
  0.323  |  0.510  |  0.331  |  0.316  
  0.339  |  0.513  |  0.346  |  0.331  
  0.323  |  0.516  |  0.316  |  0.331  
  0.339  |  0.520  |  0.339  |  0.339  
  0.308  |  0.523  |  0.300  |  0.316  
  0.354  |  0.526  |  0.362  |  0.346  
  0.323  |  0.530  |  0.323  |  0.323  
  0.339  |  0.533  |  0.339  |  0.339  
  0.323  |  0.536  |  0.331  |  0.316  
  0.323  |  0.539  |  0.331  |  0.316  
  0.339  |  0.543  |  0.339  |  0.339  
  0.354  |  0.546  |  0.354  |  0.354  
  0.339  |  0.550  |  0.346  |  0.331  
  0.308  |  0.553  |  0.316  |  0.300  
  0.308  |  0.559  |  0.316  |  0.300  
  0.308  |  0.559  |  0.316  |  0.300  
  0.323  |  0.566  |  0.323  |  0.323  
  0.339  |  0.569  |  0.331  |  0.346  
  0.323  |  0.573  |  0.323  |  0.323  
  0.339  |  0.576  |  0.346  |  0.331  
  0.339  |  0.579  |  0.346  |  0.331  
  0.354  |  0.583  |  0.354  |  0.354  
  0.323  |  0.586  |  0.323  |  0.323  
  0.339  |  0.590  |  0.339  |  0.339  
  0.323  |  0.593  |  0.323  |  0.323  
  0.339  |  0.596  |  0.339  |  0.339  
  0.323  |  0.599  |  0.323  |  0.323  
  0.339  |  0.603  |  0.339  |  0.339  
  0.323  |  0.606  |  0.323  |  0.323  
  0.354  |  0.610  |  0.362  |  0.346  
  0.308  |  0.613  |  0.308  |  0.308  
  0.354  |  0.616  |  0.354  |  0.354  
  0.308  |  0.619  |  0.316  |  0.300  
  0.354  |  0.623  |  0.354  |  0.354  
