CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.111  |  0.006  |  0.111  |  0.111  
  0.231  |  0.017  |  0.232  |  0.229  
  0.277  |  0.031  |  0.277  |  0.277  
  0.302  |  0.046  |  0.302  |  0.302  
  0.333  |  0.063  |  0.334  |  0.331  
  0.363  |  0.081  |  0.365  |  0.362  
  0.391  |  0.100  |  0.389  |  0.393  
  0.416  |  0.121  |  0.414  |  0.417  
  0.459  |  0.166  |  0.460  |  0.457  
  0.483  |  0.190  |  0.483  |  0.483  
  0.499  |  0.215  |  0.499  |  0.499  
  0.517  |  0.241  |  0.517  |  0.517  
  0.526  |  0.267  |  0.528  |  0.525  
  0.542  |  0.294  |  0.540  |  0.543  
  0.557  |  0.322  |  0.556  |  0.559  
  0.566  |  0.351  |  0.566  |  0.566  
  0.576  |  0.379  |  0.574  |  0.577  
  0.591  |  0.409  |  0.591  |  0.591  
  0.600  |  0.439  |  0.602  |  0.599  
  0.594  |  0.469  |  0.596  |  0.593  
  0.622  |  0.500  |  0.622  |  0.622  
  0.616  |  0.531  |  0.614  |  0.617  
  0.631  |  0.562  |  0.633  |  0.630  
  0.631  |  0.594  |  0.631  |  0.631  
  0.637  |  0.626  |  0.637  |  0.637  
  0.643  |  0.658  |  0.643  |  0.643  
  0.650  |  0.690  |  0.650  |  0.650  
  0.656  |  0.723  |  0.656  |  0.656  
  0.653  |  0.756  |  0.653  |  0.653  
  0.662  |  0.789  |  0.662  |  0.662  
  0.668  |  0.822  |  0.670  |  0.667  
  0.668  |  0.856  |  0.668  |  0.668  
  0.668  |  0.889  |  0.668  |  0.668  
  0.668  |  0.922  |  0.668  |  0.668  
  0.677  |  0.956  |  0.677  |  0.677  
  0.683  |  0.990  |  0.683  |  0.683  
  0.677  |  1.024  |  0.679  |  0.676  
  0.680  |  1.058  |  0.682  |  0.679  
  0.680  |  1.092  |  0.680  |  0.680  
  0.690  |  1.127  |  0.688  |  0.691  
  0.687  |  1.161  |  0.687  |  0.687  
  0.677  |  1.195  |  0.679  |  0.676  
  0.693  |  1.230  |  0.694  |  0.691  
  0.690  |  1.264  |  0.691  |  0.688  
  0.683  |  1.298  |  0.683  |  0.683  
  0.696  |  1.333  |  0.697  |  0.694  
  0.687  |  1.367  |  0.688  |  0.685  
  0.696  |  1.402  |  0.697  |  0.694  
  0.690  |  1.437  |  0.690  |  0.690  
  0.699  |  1.472  |  0.700  |  0.697  
  0.690  |  1.506  |  0.690  |  0.690  
  0.696  |  1.541  |  0.696  |  0.696  
  0.696  |  1.576  |  0.697  |  0.694  
  0.702  |  1.611  |  0.703  |  0.700  
  0.690  |  1.645  |  0.691  |  0.688  
  0.702  |  1.680  |  0.702  |  0.702  
  0.690  |  1.715  |  0.691  |  0.688  
  0.702  |  1.750  |  0.702  |  0.702  
  0.705  |  1.785  |  0.705  |  0.705  
  0.690  |  1.820  |  0.690  |  0.690  
