CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.111  |  0.006  |  0.111  |  0.111  
  0.348  |  0.023  |  0.348  |  0.348  
  0.576  |  0.052  |  0.576  |  0.576  
  0.730  |  0.088  |  0.730  |  0.730  
  0.810  |  0.129  |  0.810  |  0.810  
  0.819  |  0.170  |  0.819  |  0.819  
  0.791  |  0.209  |  0.791  |  0.791  
  0.754  |  0.247  |  0.754  |  0.754  
  0.705  |  0.282  |  0.705  |  0.705  
  0.683  |  0.316  |  0.683  |  0.684  
  0.668  |  0.350  |  0.668  |  0.668  
  0.677  |  0.384  |  0.677  |  0.677  
  0.693  |  0.418  |  0.693  |  0.693  
  0.693  |  0.453  |  0.693  |  0.693  
  0.708  |  0.488  |  0.708  |  0.708  
  0.699  |  0.523  |  0.699  |  0.699  
  0.702  |  0.558  |  0.702  |  0.702  
  0.708  |  0.594  |  0.708  |  0.708  
  0.696  |  0.629  |  0.696  |  0.696  
  0.708  |  0.664  |  0.708  |  0.708  
  0.693  |  0.699  |  0.693  |  0.693  
  0.702  |  0.734  |  0.702  |  0.702  
  0.705  |  0.769  |  0.705  |  0.705  
  0.702  |  0.804  |  0.702  |  0.702  
  0.696  |  0.839  |  0.696  |  0.696  
  0.699  |  0.874  |  0.699  |  0.699  
  0.705  |  0.909  |  0.705  |  0.705  
  0.699  |  0.944  |  0.699  |  0.699  
  0.699  |  0.979  |  0.699  |  0.699  
  0.699  |  1.014  |  0.699  |  0.699  
  0.702  |  1.049  |  0.702  |  0.702  
  0.699  |  1.084  |  0.699  |  0.699  
  0.705  |  1.119  |  0.705  |  0.705  
  0.699  |  1.154  |  0.699  |  0.699  
  0.699  |  1.189  |  0.699  |  0.699  
  0.702  |  1.224  |  0.702  |  0.702  
  0.696  |  1.259  |  0.696  |  0.696  
  0.696  |  1.294  |  0.696  |  0.696  
  0.696  |  1.328  |  0.696  |  0.696  
  0.702  |  1.364  |  0.702  |  0.702  
  0.708  |  1.399  |  0.708  |  0.708  
  0.699  |  1.434  |  0.699  |  0.699  
  0.705  |  1.469  |  0.705  |  0.705  
  0.705  |  1.504  |  0.705  |  0.705  
  0.699  |  1.539  |  0.699  |  0.699  
  0.702  |  1.574  |  0.702  |  0.702  
  0.699  |  1.609  |  0.699  |  0.699  
  0.696  |  1.644  |  0.696  |  0.696  
  0.690  |  1.679  |  0.690  |  0.690  
  0.705  |  1.714  |  0.705  |  0.705  
  0.705  |  1.749  |  0.705  |  0.705  
  0.699  |  1.784  |  0.699  |  0.699  
  0.699  |  1.819  |  0.699  |  0.699  
  0.699  |  1.854  |  0.699  |  0.699  
  0.702  |  1.889  |  0.702  |  0.702  
  0.702  |  1.924  |  0.702  |  0.702  
  0.699  |  1.959  |  0.699  |  0.699  
  0.699  |  1.994  |  0.699  |  0.699  
  0.705  |  2.029  |  0.705  |  0.705  
  0.699  |  2.064  |  0.699  |  0.699  
  0.699  |  2.099  |  0.699  |  0.699  
  0.699  |  2.134  |  0.699  |  0.699  
  0.696  |  2.169  |  0.696  |  0.696  
  0.708  |  2.204  |  0.708  |  0.708  
  0.699  |  2.239  |  0.699  |  0.699  
  0.699  |  2.274  |  0.699  |  0.699  
  0.699  |  2.309  |  0.699  |  0.699  
  0.693  |  2.344  |  0.693  |  0.693  
  0.705  |  2.379  |  0.705  |  0.705  
  0.702  |  2.414  |  0.702  |  0.702  
  0.702  |  2.449  |  0.702  |  0.702  
  0.696  |  2.484  |  0.696  |  0.696  
  0.702  |  2.519  |  0.702  |  0.702  
  0.705  |  2.554  |  0.705  |  0.705  
  0.699  |  2.589  |  0.699  |  0.699  
  0.699  |  2.624  |  0.699  |  0.699  
  0.702  |  2.659  |  0.702  |  0.702  
  0.699  |  2.694  |  0.699  |  0.699  
  0.705  |  2.730  |  0.705  |  0.705  
  0.693  |  2.764  |  0.693  |  0.693  
