CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.046  |  0.000  |  0.046  |  0.046  
  0.185  |  0.002  |  0.185  |  0.185  
  0.262  |  0.005  |  0.262  |  0.262  
  0.354  |  0.008  |  0.354  |  0.354  
  0.339  |  0.012  |  0.339  |  0.339  
  0.385  |  0.016  |  0.393  |  0.377  
  0.385  |  0.020  |  0.385  |  0.385  
  0.354  |  0.023  |  0.354  |  0.354  
  0.385  |  0.027  |  0.385  |  0.385  
  0.400  |  0.031  |  0.408  |  0.393  
  0.354  |  0.034  |  0.362  |  0.346  
  0.385  |  0.038  |  0.385  |  0.385  
  0.446  |  0.043  |  0.446  |  0.446  
  0.385  |  0.047  |  0.385  |  0.385  
  0.400  |  0.051  |  0.408  |  0.393  
  0.416  |  0.055  |  0.423  |  0.408  
  0.416  |  0.059  |  0.423  |  0.408  
  0.416  |  0.063  |  0.423  |  0.408  
  0.431  |  0.067  |  0.431  |  0.431  
  0.446  |  0.072  |  0.446  |  0.446  
  0.431  |  0.076  |  0.431  |  0.431  
  0.446  |  0.081  |  0.439  |  0.454  
  0.431  |  0.085  |  0.431  |  0.431  
  0.462  |  0.090  |  0.470  |  0.454  
  0.431  |  0.094  |  0.439  |  0.423  
  0.462  |  0.099  |  0.470  |  0.454  
  0.446  |  0.103  |  0.446  |  0.446  
  0.446  |  0.107  |  0.454  |  0.439  
  0.462  |  0.112  |  0.470  |  0.454  
  0.477  |  0.117  |  0.477  |  0.477  
  0.462  |  0.121  |  0.462  |  0.462  
  0.523  |  0.127  |  0.523  |  0.523  
  0.477  |  0.131  |  0.477  |  0.477  
  0.477  |  0.136  |  0.470  |  0.485  
  0.477  |  0.141  |  0.477  |  0.477  
  0.493  |  0.146  |  0.500  |  0.485  
  0.508  |  0.151  |  0.508  |  0.508  
  0.493  |  0.161  |  0.485  |  0.500  
  0.508  |  0.166  |  0.508  |  0.508  
  0.477  |  0.171  |  0.485  |  0.470  
  0.493  |  0.176  |  0.493  |  0.493  
  0.539  |  0.181  |  0.539  |  0.539  
  0.523  |  0.186  |  0.531  |  0.516  
  0.539  |  0.192  |  0.531  |  0.546  
  0.508  |  0.197  |  0.508  |  0.508  
  0.508  |  0.202  |  0.508  |  0.508  
  0.554  |  0.207  |  0.562  |  0.546  
  0.477  |  0.212  |  0.470  |  0.485  
  0.570  |  0.218  |  0.570  |  0.570  
  0.508  |  0.223  |  0.508  |  0.508  
  0.570  |  0.229  |  0.569  |  0.570  
  0.523  |  0.234  |  0.531  |  0.516  
  0.554  |  0.239  |  0.562  |  0.546  
  0.523  |  0.245  |  0.531  |  0.516  
  0.539  |  0.250  |  0.539  |  0.539  
  0.539  |  0.255  |  0.539  |  0.539  
  0.570  |  0.261  |  0.570  |  0.570  
  0.539  |  0.266  |  0.531  |  0.546  
  0.570  |  0.272  |  0.577  |  0.562  
  0.585  |  0.278  |  0.593  |  0.577  
