CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.046  |  0.000  |  0.054  |  0.038  
  0.231  |  0.003  |  0.223  |  0.239  
  0.323  |  0.006  |  0.323  |  0.323  
  0.323  |  0.009  |  0.323  |  0.323  
  0.246  |  0.012  |  0.246  |  0.246  
  0.231  |  0.014  |  0.231  |  0.231  
  0.246  |  0.016  |  0.246  |  0.246  
  0.277  |  0.019  |  0.277  |  0.277  
  0.277  |  0.022  |  0.277  |  0.277  
  0.277  |  0.025  |  0.285  |  0.269  
  0.262  |  0.027  |  0.254  |  0.269  
  0.277  |  0.030  |  0.277  |  0.277  
  0.292  |  0.033  |  0.292  |  0.292  
  0.292  |  0.036  |  0.300  |  0.285  
  0.292  |  0.039  |  0.292  |  0.292  
  0.308  |  0.042  |  0.308  |  0.308  
  0.277  |  0.045  |  0.277  |  0.277  
  0.292  |  0.048  |  0.292  |  0.292  
  0.292  |  0.051  |  0.300  |  0.285  
  0.308  |  0.054  |  0.308  |  0.308  
  0.323  |  0.057  |  0.323  |  0.323  
  0.323  |  0.060  |  0.323  |  0.323  
  0.292  |  0.063  |  0.292  |  0.292  
  0.323  |  0.066  |  0.323  |  0.323  
  0.308  |  0.069  |  0.308  |  0.308  
  0.323  |  0.073  |  0.331  |  0.316  
  0.339  |  0.076  |  0.331  |  0.346  
  0.354  |  0.080  |  0.354  |  0.354  
  0.308  |  0.083  |  0.308  |  0.308  
  0.308  |  0.086  |  0.316  |  0.300  
  0.323  |  0.089  |  0.316  |  0.331  
  0.354  |  0.093  |  0.346  |  0.362  
  0.369  |  0.096  |  0.377  |  0.362  
  0.323  |  0.099  |  0.331  |  0.316  
  0.369  |  0.103  |  0.369  |  0.369  
  0.339  |  0.107  |  0.339  |  0.339  
  0.339  |  0.114  |  0.339  |  0.339  
  0.369  |  0.117  |  0.369  |  0.369  
  0.354  |  0.121  |  0.354  |  0.354  
  0.369  |  0.125  |  0.369  |  0.369  
  0.354  |  0.128  |  0.354  |  0.354  
  0.385  |  0.132  |  0.393  |  0.377  
  0.400  |  0.136  |  0.400  |  0.400  
  0.339  |  0.139  |  0.339  |  0.339  
  0.339  |  0.143  |  0.339  |  0.339  
  0.416  |  0.147  |  0.416  |  0.416  
  0.369  |  0.151  |  0.369  |  0.369  
  0.400  |  0.155  |  0.393  |  0.408  
  0.369  |  0.158  |  0.377  |  0.362  
  0.400  |  0.162  |  0.408  |  0.393  
  0.385  |  0.166  |  0.385  |  0.385  
  0.416  |  0.170  |  0.416  |  0.416  
  0.369  |  0.174  |  0.369  |  0.369  
  0.416  |  0.178  |  0.423  |  0.408  
  0.385  |  0.182  |  0.385  |  0.385  
  0.431  |  0.186  |  0.423  |  0.439  
  0.369  |  0.190  |  0.377  |  0.362  
  0.431  |  0.194  |  0.423  |  0.439  
  0.385  |  0.198  |  0.393  |  0.377  
  0.446  |  0.203  |  0.446  |  0.446  
