CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.296  |  0.020  |  0.297  |  0.294  
  0.434  |  0.042  |  0.434  |  0.434  
  0.526  |  0.069  |  0.526  |  0.526  
  0.594  |  0.098  |  0.594  |  0.594  
  0.637  |  0.130  |  0.637  |  0.637  
  0.662  |  0.163  |  0.662  |  0.662  
  0.680  |  0.197  |  0.680  |  0.681  
  0.693  |  0.232  |  0.693  |  0.693  
  0.705  |  0.267  |  0.705  |  0.705  
  0.696  |  0.302  |  0.696  |  0.696  
  0.708  |  0.337  |  0.708  |  0.708  
  0.699  |  0.372  |  0.699  |  0.699  
  0.705  |  0.407  |  0.705  |  0.705  
  0.699  |  0.442  |  0.699  |  0.699  
  0.699  |  0.477  |  0.699  |  0.699  
  0.708  |  0.513  |  0.708  |  0.708  
  0.696  |  0.548  |  0.696  |  0.696  
  0.696  |  0.582  |  0.696  |  0.696  
  0.705  |  0.618  |  0.705  |  0.705  
  0.696  |  0.652  |  0.696  |  0.696  
  0.705  |  0.688  |  0.705  |  0.705  
  0.696  |  0.722  |  0.696  |  0.696  
  0.705  |  0.758  |  0.705  |  0.705  
  0.699  |  0.793  |  0.699  |  0.699  
  0.699  |  0.828  |  0.699  |  0.699  
  0.705  |  0.863  |  0.705  |  0.705  
  0.699  |  0.898  |  0.699  |  0.699  
  0.696  |  0.933  |  0.696  |  0.696  
  0.705  |  0.968  |  0.705  |  0.705  
  0.696  |  1.003  |  0.696  |  0.696  
  0.699  |  1.038  |  0.699  |  0.699  
  0.702  |  1.073  |  0.702  |  0.702  
  0.696  |  1.107  |  0.696  |  0.696  
  0.708  |  1.143  |  0.708  |  0.708  
  0.699  |  1.178  |  0.699  |  0.699  
  0.702  |  1.213  |  0.702  |  0.702  
  0.696  |  1.248  |  0.696  |  0.696  
  0.702  |  1.283  |  0.702  |  0.702  
  0.705  |  1.318  |  0.705  |  0.705  
  0.696  |  1.353  |  0.696  |  0.696  
  0.699  |  1.388  |  0.699  |  0.699  
  0.696  |  1.423  |  0.696  |  0.696  
  0.702  |  1.458  |  0.702  |  0.702  
  0.708  |  1.493  |  0.708  |  0.708  
  0.696  |  1.528  |  0.696  |  0.696  
  0.702  |  1.563  |  0.702  |  0.702  
  0.705  |  1.598  |  0.705  |  0.705  
  0.699  |  1.633  |  0.699  |  0.699  
  0.705  |  1.668  |  0.705  |  0.705  
  0.696  |  1.703  |  0.696  |  0.696  
  0.702  |  1.738  |  0.702  |  0.702  
  0.702  |  1.773  |  0.702  |  0.702  
  0.693  |  1.808  |  0.693  |  0.693  
  0.708  |  1.843  |  0.708  |  0.708  
  0.693  |  1.878  |  0.693  |  0.693  
  0.699  |  1.913  |  0.699  |  0.699  
  0.705  |  1.948  |  0.705  |  0.705  
  0.702  |  1.983  |  0.702  |  0.702  
  0.699  |  2.018  |  0.699  |  0.699  
  0.702  |  2.053  |  0.702  |  0.702  
