CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.046  |  0.000  |  0.046  |  0.046  
  0.185  |  0.002  |  0.185  |  0.185  
  0.292  |  0.005  |  0.292  |  0.292  
  0.308  |  0.008  |  0.308  |  0.308  
  0.354  |  0.012  |  0.362  |  0.346  
  0.339  |  0.015  |  0.346  |  0.331  
  0.323  |  0.018  |  0.323  |  0.323  
  0.339  |  0.022  |  0.339  |  0.339  
  0.354  |  0.025  |  0.354  |  0.354  
  0.323  |  0.029  |  0.331  |  0.316  
  0.323  |  0.036  |  0.331  |  0.316  
  0.354  |  0.039  |  0.362  |  0.346  
  0.385  |  0.043  |  0.385  |  0.385  
  0.339  |  0.046  |  0.346  |  0.331  
  0.369  |  0.050  |  0.369  |  0.369  
  0.369  |  0.054  |  0.369  |  0.369  
  0.369  |  0.058  |  0.369  |  0.369  
  0.354  |  0.061  |  0.362  |  0.346  
  0.354  |  0.065  |  0.354  |  0.354  
  0.369  |  0.068  |  0.377  |  0.362  
  0.369  |  0.072  |  0.377  |  0.362  
  0.385  |  0.076  |  0.385  |  0.385  
  0.369  |  0.080  |  0.369  |  0.369  
  0.369  |  0.083  |  0.377  |  0.362  
  0.385  |  0.087  |  0.385  |  0.385  
  0.400  |  0.091  |  0.408  |  0.393  
  0.354  |  0.095  |  0.354  |  0.354  
  0.385  |  0.099  |  0.385  |  0.385  
  0.385  |  0.102  |  0.393  |  0.377  
  0.400  |  0.106  |  0.400  |  0.400  
  0.354  |  0.110  |  0.354  |  0.354  
  0.400  |  0.114  |  0.400  |  0.400  
  0.385  |  0.118  |  0.385  |  0.385  
  0.416  |  0.122  |  0.416  |  0.416  
  0.369  |  0.126  |  0.377  |  0.362  
  0.416  |  0.130  |  0.423  |  0.408  
  0.400  |  0.134  |  0.400  |  0.400  
  0.385  |  0.138  |  0.385  |  0.385  
  0.369  |  0.141  |  0.362  |  0.377  
  0.416  |  0.145  |  0.416  |  0.416  
  0.385  |  0.149  |  0.393  |  0.377  
  0.416  |  0.153  |  0.423  |  0.408  
  0.400  |  0.157  |  0.400  |  0.400  
  0.416  |  0.162  |  0.416  |  0.416  
  0.400  |  0.166  |  0.408  |  0.393  
  0.416  |  0.170  |  0.416  |  0.416  
  0.416  |  0.174  |  0.423  |  0.408  
  0.400  |  0.178  |  0.400  |  0.400  
  0.416  |  0.186  |  0.416  |  0.416  
  0.416  |  0.190  |  0.416  |  0.416  
  0.416  |  0.190  |  0.416  |  0.416  
  0.385  |  0.199  |  0.385  |  0.385  
  0.446  |  0.203  |  0.446  |  0.446  
  0.416  |  0.207  |  0.423  |  0.408  
  0.400  |  0.211  |  0.408  |  0.393  
  0.431  |  0.216  |  0.431  |  0.431  
  0.431  |  0.220  |  0.431  |  0.431  
  0.446  |  0.224  |  0.446  |  0.446  
  0.416  |  0.229  |  0.423  |  0.408  
  0.431  |  0.233  |  0.431  |  0.431  
