CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.357  |  0.018  |  0.357  |  0.357  
  0.099  |  0.023  |  0.098  |  0.099  
  0.154  |  0.030  |  0.154  |  0.154  
  0.465  |  0.054  |  0.465  |  0.465  
  0.329  |  0.070  |  0.329  |  0.329  
  0.536  |  0.097  |  0.534  |  0.537  
  0.588  |  0.126  |  0.588  |  0.588  
  0.597  |  0.156  |  0.597  |  0.597  
  0.767  |  0.195  |  0.767  |  0.767  
  0.727  |  0.231  |  0.726  |  0.727  
  0.791  |  0.309  |  0.791  |  0.791  
  0.757  |  0.347  |  0.757  |  0.757  
  0.757  |  0.385  |  0.757  |  0.758  
  0.739  |  0.422  |  0.739  |  0.739  
  0.720  |  0.458  |  0.720  |  0.721  
  0.705  |  0.493  |  0.705  |  0.705  
  0.696  |  0.528  |  0.696  |  0.696  
  0.687  |  0.562  |  0.686  |  0.687  
  0.683  |  0.596  |  0.683  |  0.684  
  0.680  |  0.630  |  0.680  |  0.681  
  0.687  |  0.665  |  0.686  |  0.687  
  0.687  |  0.699  |  0.686  |  0.687  
  0.693  |  0.734  |  0.693  |  0.693  
  0.693  |  0.768  |  0.693  |  0.693  
  0.702  |  0.803  |  0.702  |  0.702  
  0.702  |  0.838  |  0.702  |  0.702  
  0.702  |  0.873  |  0.702  |  0.702  
  0.708  |  0.909  |  0.708  |  0.708  
  0.702  |  0.944  |  0.702  |  0.702  
  0.705  |  0.979  |  0.705  |  0.705  
  0.705  |  1.014  |  0.705  |  0.705  
  0.699  |  1.049  |  0.699  |  0.699  
  0.705  |  1.085  |  0.705  |  0.705  
  0.696  |  1.119  |  0.696  |  0.696  
  0.702  |  1.155  |  0.702  |  0.702  
  0.699  |  1.189  |  0.699  |  0.699  
  0.699  |  1.224  |  0.699  |  0.699  
  0.702  |  1.260  |  0.702  |  0.702  
  0.708  |  1.295  |  0.708  |  0.708  
  0.680  |  1.329  |  0.680  |  0.680  
  0.714  |  1.365  |  0.714  |  0.714  
  0.690  |  1.399  |  0.689  |  0.690  
  0.702  |  1.434  |  0.702  |  0.702  
  0.702  |  1.469  |  0.702  |  0.702  
  0.696  |  1.504  |  0.696  |  0.696  
  0.705  |  1.539  |  0.705  |  0.705  
  0.696  |  1.574  |  0.696  |  0.696  
  0.705  |  1.609  |  0.705  |  0.705  
  0.696  |  1.644  |  0.696  |  0.696  
  0.702  |  1.679  |  0.702  |  0.702  
  0.708  |  1.715  |  0.708  |  0.708  
  0.690  |  1.749  |  0.689  |  0.690  
  0.708  |  1.785  |  0.708  |  0.708  
  0.696  |  1.819  |  0.696  |  0.696  
  0.699  |  1.854  |  0.699  |  0.699  
  0.702  |  1.889  |  0.702  |  0.702  
  0.696  |  1.924  |  0.696  |  0.696  
  0.717  |  1.960  |  0.717  |  0.717  
  0.677  |  1.994  |  0.677  |  0.677  
