CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.114  |  0.006  |  0.114  |  0.114  
  0.314  |  0.021  |  0.314  |  0.314  
  0.468  |  0.045  |  0.468  |  0.468  
  0.591  |  0.074  |  0.591  |  0.591  
  0.653  |  0.107  |  0.653  |  0.653  
  0.699  |  0.142  |  0.700  |  0.697  
  0.702  |  0.177  |  0.703  |  0.700  
  0.717  |  0.213  |  0.719  |  0.716  
  0.717  |  0.249  |  0.719  |  0.716  
  0.705  |  0.284  |  0.705  |  0.705  
  0.708  |  0.319  |  0.707  |  0.710  
  0.705  |  0.355  |  0.705  |  0.705  
  0.705  |  0.390  |  0.705  |  0.705  
  0.699  |  0.425  |  0.700  |  0.697  
  0.702  |  0.460  |  0.702  |  0.702  
  0.702  |  0.495  |  0.702  |  0.702  
  0.705  |  0.530  |  0.705  |  0.705  
  0.702  |  0.565  |  0.702  |  0.702  
  0.702  |  0.601  |  0.700  |  0.703  
  0.696  |  0.635  |  0.696  |  0.696  
  0.702  |  0.670  |  0.703  |  0.700  
  0.702  |  0.705  |  0.700  |  0.703  
  0.693  |  0.740  |  0.694  |  0.691  
  0.705  |  0.775  |  0.703  |  0.707  
  0.693  |  0.810  |  0.691  |  0.694  
  0.702  |  0.845  |  0.702  |  0.702  
  0.708  |  0.881  |  0.708  |  0.708  
  0.699  |  0.915  |  0.699  |  0.699  
  0.699  |  0.950  |  0.700  |  0.697  
  0.693  |  0.985  |  0.694  |  0.691  
  0.705  |  1.020  |  0.705  |  0.705  
  0.702  |  1.055  |  0.700  |  0.703  
  0.696  |  1.090  |  0.696  |  0.696  
  0.702  |  1.125  |  0.700  |  0.703  
  0.699  |  1.160  |  0.697  |  0.700  
  0.693  |  1.195  |  0.691  |  0.694  
  0.702  |  1.230  |  0.700  |  0.703  
  0.705  |  1.265  |  0.705  |  0.705  
  0.699  |  1.300  |  0.700  |  0.697  
  0.705  |  1.335  |  0.705  |  0.705  
  0.699  |  1.370  |  0.699  |  0.699  
  0.702  |  1.405  |  0.702  |  0.702  
  0.696  |  1.440  |  0.697  |  0.694  
  0.708  |  1.476  |  0.707  |  0.710  
  0.696  |  1.510  |  0.697  |  0.694  
  0.699  |  1.545  |  0.699  |  0.699  
  0.702  |  1.580  |  0.702  |  0.702  
  0.702  |  1.616  |  0.703  |  0.700  
  0.696  |  1.650  |  0.696  |  0.696  
  0.702  |  1.685  |  0.703  |  0.700  
  0.699  |  1.720  |  0.699  |  0.699  
  0.699  |  1.755  |  0.697  |  0.700  
  0.702  |  1.790  |  0.700  |  0.703  
  0.702  |  1.826  |  0.702  |  0.702  
  0.702  |  1.861  |  0.702  |  0.702  
  0.696  |  1.895  |  0.694  |  0.697  
  0.699  |  1.930  |  0.697  |  0.700  
  0.702  |  1.965  |  0.702  |  0.702  
  0.693  |  2.000  |  0.694  |  0.691  
  0.705  |  2.035  |  0.707  |  0.703  
  0.696  |  2.070  |  0.696  |  0.696  
  0.705  |  2.105  |  0.705  |  0.705  
  0.708  |  2.141  |  0.708  |  0.708  
  0.699  |  2.176  |  0.699  |  0.699  
  0.702  |  2.211  |  0.702  |  0.702  
  0.696  |  2.246  |  0.696  |  0.696  
  0.705  |  2.281  |  0.707  |  0.703  
  0.693  |  2.316  |  0.693  |  0.693  
  0.699  |  2.350  |  0.697  |  0.700  
  0.702  |  2.386  |  0.702  |  0.702  
  0.705  |  2.421  |  0.705  |  0.705  
  0.699  |  2.456  |  0.699  |  0.699  
  0.699  |  2.491  |  0.700  |  0.697  
  0.699  |  2.526  |  0.699  |  0.699  
  0.702  |  2.561  |  0.703  |  0.700  
  0.699  |  2.596  |  0.700  |  0.697  
  0.696  |  2.630  |  0.696  |  0.696  
  0.705  |  2.666  |  0.703  |  0.707  
  0.699  |  2.701  |  0.699  |  0.699  
  0.705  |  2.736  |  0.705  |  0.705  
  0.702  |  2.771  |  0.702  |  0.702  
  0.690  |  2.805  |  0.690  |  0.690  
  0.705  |  2.841  |  0.703  |  0.707  
  0.693  |  2.875  |  0.691  |  0.694  
  0.699  |  2.910  |  0.697  |  0.700  
  0.705  |  2.946  |  0.703  |  0.707  
  0.696  |  2.980  |  0.697  |  0.694  
  0.705  |  3.016  |  0.705  |  0.705  
  0.699  |  3.051  |  0.699  |  0.699  
  0.702  |  3.086  |  0.703  |  0.700  
  0.699  |  3.121  |  0.699  |  0.699  
  0.702  |  3.156  |  0.702  |  0.702  
  0.702  |  3.191  |  0.703  |  0.700  
  0.696  |  3.226  |  0.696  |  0.696  
  0.702  |  3.261  |  0.703  |  0.700  
  0.699  |  3.330  |  0.699  |  0.699  
  0.699  |  3.330  |  0.699  |  0.699  
  0.699  |  3.401  |  0.697  |  0.700  
  0.693  |  3.435  |  0.691  |  0.694  
  0.705  |  3.470  |  0.705  |  0.705  
  0.699  |  3.505  |  0.700  |  0.697  
  0.696  |  3.540  |  0.697  |  0.694  
  0.705  |  3.575  |  0.703  |  0.707  
  0.696  |  3.610  |  0.694  |  0.697  
  0.708  |  3.646  |  0.708  |  0.708  
  0.699  |  3.681  |  0.700  |  0.697  
  0.693  |  3.715  |  0.691  |  0.694  
  0.702  |  3.750  |  0.702  |  0.702  
  0.699  |  3.785  |  0.697  |  0.700  
  0.705  |  3.821  |  0.705  |  0.705  
  0.696  |  3.855  |  0.694  |  0.697  
  0.702  |  3.890  |  0.702  |  0.702  
  0.702  |  3.926  |  0.702  |  0.702  
  0.702  |  3.961  |  0.702  |  0.702  
  0.702  |  3.996  |  0.702  |  0.702  
  0.705  |  4.031  |  0.707  |  0.703  
  0.693  |  4.066  |  0.694  |  0.691  
  0.705  |  4.101  |  0.703  |  0.707  
  0.696  |  4.136  |  0.694  |  0.697  
  0.699  |  4.171  |  0.697  |  0.700  
  0.699  |  4.206  |  0.700  |  0.697  
  0.699  |  4.240  |  0.699  |  0.699  
  0.705  |  4.276  |  0.707  |  0.703  
  0.696  |  4.311  |  0.694  |  0.697  
  0.699  |  4.345  |  0.697  |  0.700  
  0.705  |  4.381  |  0.707  |  0.703  
  0.696  |  4.416  |  0.696  |  0.696  
  0.705  |  4.451  |  0.707  |  0.703  
  0.699  |  4.486  |  0.699  |  0.699  
  0.702  |  4.521  |  0.702  |  0.702  
  0.705  |  4.556  |  0.705  |  0.705  
  0.696  |  4.591  |  0.694  |  0.697  
  0.699  |  4.626  |  0.697  |  0.700  
  0.696  |  4.661  |  0.696  |  0.696  
  0.708  |  4.696  |  0.708  |  0.708  
  0.696  |  4.731  |  0.697  |  0.694  
  0.702  |  4.766  |  0.702  |  0.702  
  0.702  |  4.801  |  0.702  |  0.702  
  0.702  |  4.836  |  0.703  |  0.700  
  0.699  |  4.871  |  0.699  |  0.699  
  0.705  |  4.906  |  0.705  |  0.705  
  0.699  |  4.941  |  0.699  |  0.699  
  0.699  |  4.976  |  0.699  |  0.699  
  0.696  |  5.011  |  0.696  |  0.696  
  0.705  |  5.046  |  0.705  |  0.705  
  0.699  |  5.081  |  0.699  |  0.699  
  0.696  |  5.116  |  0.694  |  0.697  
  0.702  |  5.151  |  0.702  |  0.702  
  0.699  |  5.186  |  0.699  |  0.699  
  0.702  |  5.221  |  0.702  |  0.702  
  0.705  |  5.256  |  0.705  |  0.705  
  0.696  |  5.291  |  0.694  |  0.697  
  0.696  |  5.326  |  0.696  |  0.696  
  0.705  |  5.361  |  0.705  |  0.705  
  0.757  |  5.399  |  0.757  |  0.757  
  0.622  |  5.430  |  0.623  |  0.620  
  0.699  |  5.465  |  0.700  |  0.697  
  0.702  |  5.500  |  0.703  |  0.700  
  0.705  |  5.535  |  0.707  |  0.703  
  0.705  |  5.571  |  0.705  |  0.705  
  0.711  |  5.606  |  0.711  |  0.711  
  0.702  |  5.641  |  0.702  |  0.702  
  0.696  |  5.676  |  0.696  |  0.696  
  0.702  |  5.711  |  0.700  |  0.703  
  0.693  |  5.746  |  0.693  |  0.693  
  0.702  |  5.781  |  0.702  |  0.702  
  0.699  |  5.816  |  0.697  |  0.700  
  0.702  |  5.851  |  0.702  |  0.702  
  0.702  |  5.886  |  0.702  |  0.702  
  0.702  |  5.921  |  0.700  |  0.703  
  0.699  |  5.956  |  0.699  |  0.699  
  0.702  |  5.991  |  0.703  |  0.700  
  0.699  |  6.026  |  0.699  |  0.699  
  0.705  |  6.061  |  0.705  |  0.705  
  0.693  |  6.096  |  0.693  |  0.693  
  0.696  |  6.131  |  0.694  |  0.697  
  0.708  |  6.166  |  0.707  |  0.710  
  0.696  |  6.201  |  0.694  |  0.697  
  0.702  |  6.236  |  0.702  |  0.702  
  0.699  |  6.271  |  0.699  |  0.699  
  0.699  |  6.306  |  0.700  |  0.697  
  0.705  |  6.341  |  0.705  |  0.705  
  0.696  |  6.376  |  0.696  |  0.696  
  0.702  |  6.411  |  0.703  |  0.700  
  0.699  |  6.446  |  0.699  |  0.699  
  0.699  |  6.481  |  0.697  |  0.700  
  0.699  |  6.516  |  0.697  |  0.700  
  0.696  |  6.551  |  0.696  |  0.696  
  0.705  |  6.586  |  0.705  |  0.705  
  0.702  |  6.621  |  0.702  |  0.702  
  0.699  |  6.656  |  0.700  |  0.697  
  0.699  |  6.691  |  0.697  |  0.700  
  0.705  |  6.726  |  0.705  |  0.705  
  0.699  |  6.761  |  0.700  |  0.697  
  0.702  |  6.796  |  0.700  |  0.703  
  0.696  |  6.831  |  0.697  |  0.694  
  0.702  |  6.866  |  0.702  |  0.702  
  0.705  |  6.901  |  0.705  |  0.705  
  0.693  |  6.936  |  0.694  |  0.691  
  0.591  |  6.966  |  0.591  |  0.591  
  0.376  |  6.984  |  0.376  |  0.376  
  0.185  |  6.994  |  0.186  |  0.183  
  0.065  |  6.997  |  0.066  |  0.063  
 -0.169  |  6.988  | -0.169  | -0.169  
  0.015  |  6.989  |  0.017  |  0.014  
  0.052  |  6.992  |  0.052  |  0.052  
  0.046  |  6.994  |  0.046  |  0.046  
  0.031  |  6.996  |  0.031  |  0.031  
  0.006  |  6.996  |  0.006  |  0.006  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  
  0.000  |  6.996  |  0.000  |  0.000  

