CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.046  |  0.000  |  0.046  |  0.046  
  0.185  |  0.002  |  0.185  |  0.185  
  0.277  |  0.005  |  0.269  |  0.285  
  0.308  |  0.008  |  0.316  |  0.300  
  0.354  |  0.012  |  0.362  |  0.346  
  0.354  |  0.015  |  0.354  |  0.354  
  0.354  |  0.019  |  0.362  |  0.346  
  0.369  |  0.022  |  0.369  |  0.369  
  0.354  |  0.026  |  0.346  |  0.362  
  0.339  |  0.029  |  0.346  |  0.331  
  0.385  |  0.033  |  0.393  |  0.377  
  0.400  |  0.037  |  0.400  |  0.400  
  0.385  |  0.041  |  0.385  |  0.385  
  0.369  |  0.045  |  0.369  |  0.369  
  0.354  |  0.048  |  0.362  |  0.346  
  0.416  |  0.052  |  0.423  |  0.408  
  0.385  |  0.056  |  0.385  |  0.385  
  0.416  |  0.060  |  0.416  |  0.416  
  0.385  |  0.064  |  0.393  |  0.377  
  0.400  |  0.068  |  0.393  |  0.408  
  0.400  |  0.072  |  0.400  |  0.400  
  0.416  |  0.077  |  0.416  |  0.416  
  0.400  |  0.081  |  0.400  |  0.400  
  0.400  |  0.085  |  0.408  |  0.393  
  0.416  |  0.089  |  0.423  |  0.408  
  0.416  |  0.093  |  0.416  |  0.416  
  0.446  |  0.097  |  0.446  |  0.446  
  0.400  |  0.101  |  0.408  |  0.393  
  0.431  |  0.106  |  0.431  |  0.431  
  0.416  |  0.110  |  0.416  |  0.416  
  0.431  |  0.114  |  0.439  |  0.423  
  0.446  |  0.119  |  0.446  |  0.446  
  0.431  |  0.123  |  0.431  |  0.431  
  0.462  |  0.127  |  0.470  |  0.454  
  0.431  |  0.132  |  0.439  |  0.423  
  0.446  |  0.136  |  0.439  |  0.454  
  0.446  |  0.141  |  0.446  |  0.446  
  0.446  |  0.149  |  0.446  |  0.446  
  0.446  |  0.149  |  0.446  |  0.446  
  0.493  |  0.159  |  0.493  |  0.493  
  0.462  |  0.163  |  0.470  |  0.454  
  0.477  |  0.168  |  0.485  |  0.470  
  0.462  |  0.173  |  0.462  |  0.462  
  0.462  |  0.177  |  0.462  |  0.462  
  0.462  |  0.182  |  0.470  |  0.454  
  0.477  |  0.187  |  0.477  |  0.477  
  0.477  |  0.192  |  0.485  |  0.470  
  0.477  |  0.196  |  0.477  |  0.477  
  0.493  |  0.201  |  0.493  |  0.493  
  0.493  |  0.206  |  0.485  |  0.500  
  0.462  |  0.211  |  0.470  |  0.454  
  0.508  |  0.216  |  0.508  |  0.508  
  0.477  |  0.221  |  0.477  |  0.477  
  0.508  |  0.226  |  0.508  |  0.508  
  0.477  |  0.231  |  0.477  |  0.477  
  0.508  |  0.236  |  0.508  |  0.508  
  0.477  |  0.240  |  0.485  |  0.470  
  0.508  |  0.246  |  0.500  |  0.516  
  0.477  |  0.250  |  0.470  |  0.485  
  0.523  |  0.256  |  0.523  |  0.523  
