CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.693  |  3.781  |  0.693  |  0.693  
  0.687  |  3.816  |  0.688  |  0.685  
  0.693  |  3.850  |  0.693  |  0.693  
  0.683  |  3.884  |  0.685  |  0.682  
  0.690  |  3.919  |  0.691  |  0.688  
  0.693  |  3.954  |  0.693  |  0.693  
  0.690  |  3.988  |  0.691  |  0.688  
  0.693  |  4.023  |  0.694  |  0.691  
  0.687  |  4.057  |  0.687  |  0.687  
  0.690  |  4.091  |  0.691  |  0.688  
  0.693  |  4.126  |  0.693  |  0.693  
  0.696  |  4.161  |  0.697  |  0.694  
  0.687  |  4.230  |  0.688  |  0.685  
  0.693  |  4.264  |  0.691  |  0.694  
  0.693  |  4.299  |  0.694  |  0.691  
  0.693  |  4.334  |  0.694  |  0.691  
  0.693  |  4.368  |  0.693  |  0.693  
  0.693  |  4.403  |  0.693  |  0.693  
  0.693  |  4.438  |  0.694  |  0.691  
  0.687  |  4.472  |  0.687  |  0.687  
  0.702  |  4.507  |  0.702  |  0.702  
  0.693  |  4.542  |  0.694  |  0.691  
  0.693  |  4.576  |  0.693  |  0.693  
  0.693  |  4.611  |  0.694  |  0.691  
  0.696  |  4.646  |  0.694  |  0.697  
  0.693  |  4.680  |  0.693  |  0.693  
  0.693  |  4.715  |  0.694  |  0.691  
  0.693  |  4.750  |  0.694  |  0.691  
  0.705  |  4.785  |  0.705  |  0.705  
  0.690  |  4.819  |  0.691  |  0.688  
  0.693  |  4.854  |  0.693  |  0.693  
  0.699  |  4.889  |  0.700  |  0.697  
  0.696  |  4.924  |  0.696  |  0.696  
  0.699  |  4.959  |  0.700  |  0.697  
  0.690  |  4.993  |  0.690  |  0.690  
  0.702  |  5.028  |  0.702  |  0.702  
  0.702  |  5.063  |  0.702  |  0.702  
  0.687  |  5.098  |  0.688  |  0.685  
  0.696  |  5.132  |  0.697  |  0.694  
  0.699  |  5.167  |  0.700  |  0.697  
  0.699  |  5.202  |  0.699  |  0.699  
  0.696  |  5.237  |  0.696  |  0.696  
  0.696  |  5.272  |  0.696  |  0.696  
  0.696  |  5.307  |  0.696  |  0.696  
  0.699  |  5.342  |  0.699  |  0.699  
  0.699  |  5.376  |  0.699  |  0.699  
  0.696  |  5.411  |  0.697  |  0.694  
  0.693  |  5.446  |  0.691  |  0.694  
  0.699  |  5.481  |  0.699  |  0.699  
  0.699  |  5.516  |  0.700  |  0.697  
  0.696  |  5.551  |  0.694  |  0.697  
  0.702  |  5.586  |  0.702  |  0.702  
  0.693  |  5.620  |  0.693  |  0.693  
  0.696  |  5.655  |  0.697  |  0.694  
  0.699  |  5.690  |  0.699  |  0.699  
  0.699  |  5.725  |  0.699  |  0.699  
  0.696  |  5.760  |  0.697  |  0.694  
  0.696  |  5.794  |  0.696  |  0.696  
  0.699  |  5.829  |  0.699  |  0.699  
  0.699  |  5.864  |  0.699  |  0.699  
  0.699  |  5.899  |  0.699  |  0.699  
  0.699  |  5.934  |  0.699  |  0.699  
  0.696  |  5.969  |  0.696  |  0.696  
  0.699  |  6.004  |  0.699  |  0.699  
  0.702  |  6.039  |  0.702  |  0.702  
  0.696  |  6.074  |  0.696  |  0.696  
  0.699  |  6.109  |  0.700  |  0.697  
  0.696  |  6.143  |  0.696  |  0.696  
  0.696  |  6.178  |  0.697  |  0.694  
  0.699  |  6.213  |  0.700  |  0.697  
  0.699  |  6.248  |  0.699  |  0.699  
  0.699  |  6.283  |  0.699  |  0.699  
  0.699  |  6.318  |  0.699  |  0.699  
  0.699  |  6.353  |  0.699  |  0.699  
  0.699  |  6.388  |  0.699  |  0.699  
  0.696  |  6.423  |  0.696  |  0.696  
  0.702  |  6.458  |  0.702  |  0.702  
  0.696  |  6.493  |  0.694  |  0.697  
  0.702  |  6.528  |  0.702  |  0.702  
  0.696  |  6.562  |  0.697  |  0.694  
  0.699  |  6.597  |  0.700  |  0.697  
  0.702  |  6.632  |  0.702  |  0.702  
  0.702  |  6.667  |  0.703  |  0.700  
  0.690  |  6.702  |  0.690  |  0.690  
  0.699  |  6.737  |  0.697  |  0.700  
  0.702  |  6.772  |  0.703  |  0.700  
  0.705  |  6.807  |  0.705  |  0.705  
  0.696  |  6.842  |  0.696  |  0.696  
  0.699  |  6.877  |  0.699  |  0.699  
  0.699  |  6.912  |  0.699  |  0.699  
  0.699  |  6.947  |  0.697  |  0.700  
  0.702  |  6.982  |  0.702  |  0.702  
  0.699  |  7.017  |  0.699  |  0.699  
  0.696  |  7.052  |  0.694  |  0.697  
  0.702  |  7.087  |  0.702  |  0.702  
  0.702  |  7.122  |  0.700  |  0.703  
  0.693  |  7.156  |  0.693  |  0.693  
  0.705  |  7.192  |  0.705  |  0.705  
  0.699  |  7.227  |  0.699  |  0.699  
  0.699  |  7.261  |  0.699  |  0.699  
  0.702  |  7.297  |  0.700  |  0.703  
  0.699  |  7.332  |  0.699  |  0.699  
  0.699  |  7.366  |  0.700  |  0.697  
  0.696  |  7.401  |  0.697  |  0.694  
  0.699  |  7.436  |  0.700  |  0.697  
  0.705  |  7.471  |  0.705  |  0.705  
  0.702  |  7.506  |  0.700  |  0.703  
  0.696  |  7.541  |  0.696  |  0.696  
  0.705  |  7.576  |  0.707  |  0.703  
  0.699  |  7.611  |  0.699  |  0.699  
  0.699  |  7.646  |  0.699  |  0.699  
  0.699  |  7.681  |  0.697  |  0.700  
  0.702  |  7.716  |  0.702  |  0.702  
  0.699  |  7.751  |  0.700  |  0.697  
  0.702  |  7.786  |  0.702  |  0.702  
  0.699  |  7.821  |  0.697  |  0.700  
  0.702  |  7.856  |  0.702  |  0.702  
  0.699  |  7.891  |  0.699  |  0.699  
  0.705  |  7.927  |  0.705  |  0.705  
  0.696  |  7.961  |  0.696  |  0.696  
  0.699  |  7.996  |  0.699  |  0.699  
  0.705  |  8.032  |  0.705  |  0.705  
  0.699  |  8.066  |  0.699  |  0.699  
  0.699  |  8.101  |  0.700  |  0.697  
  0.696  |  8.136  |  0.696  |  0.696  
  0.705  |  8.171  |  0.705  |  0.705  
  0.702  |  8.207  |  0.702  |  0.702  
  0.696  |  8.241  |  0.694  |  0.697  
  0.699  |  8.311  |  0.700  |  0.697  
  0.705  |  8.346  |  0.705  |  0.705  
  0.699  |  8.381  |  0.697  |  0.700  
  0.702  |  8.416  |  0.703  |  0.700  
  0.699  |  8.451  |  0.699  |  0.699  
  0.696  |  8.486  |  0.694  |  0.697  
  0.702  |  8.521  |  0.702  |  0.702  
  0.705  |  8.556  |  0.705  |  0.705  
  0.693  |  8.591  |  0.691  |  0.694  
  0.699  |  8.626  |  0.700  |  0.697  
  0.699  |  8.661  |  0.699  |  0.699  
  0.705  |  8.696  |  0.705  |  0.705  
  0.702  |  8.731  |  0.703  |  0.700  
  0.693  |  8.766  |  0.693  |  0.693  
  0.702  |  8.801  |  0.702  |  0.702  
  0.702  |  8.836  |  0.702  |  0.702  
  0.699  |  8.871  |  0.697  |  0.700  
  0.705  |  8.906  |  0.705  |  0.705  
  0.693  |  8.941  |  0.693  |  0.693  
  0.699  |  8.976  |  0.697  |  0.700  
  0.705  |  9.011  |  0.703  |  0.707  
  0.696  |  9.046  |  0.697  |  0.694  
  0.702  |  9.081  |  0.702  |  0.702  
  0.699  |  9.116  |  0.697  |  0.700  
  0.699  |  9.151  |  0.697  |  0.700  
  0.699  |  9.186  |  0.700  |  0.697  
  0.702  |  9.221  |  0.702  |  0.702  
  0.702  |  9.256  |  0.703  |  0.700  
  0.696  |  9.291  |  0.694  |  0.697  
  0.699  |  9.326  |  0.697  |  0.700  
  0.702  |  9.361  |  0.702  |  0.702  
  0.705  |  9.396  |  0.705  |  0.705  
  0.699  |  9.431  |  0.699  |  0.699  
  0.699  |  9.466  |  0.699  |  0.699  
  0.702  |  9.501  |  0.702  |  0.702  
  0.699  |  9.536  |  0.699  |  0.699  
  0.705  |  9.571  |  0.705  |  0.705  
  0.699  |  9.606  |  0.697  |  0.700  
  0.696  |  9.641  |  0.696  |  0.696  
  0.702  |  9.676  |  0.702  |  0.702  
  0.702  |  9.711  |  0.702  |  0.702  
  0.699  |  9.746  |  0.697  |  0.700  
  0.705  |  9.781  |  0.705  |  0.705  
  0.696  |  9.816  |  0.697  |  0.694  
  0.699  |  9.851  |  0.697  |  0.700  
  0.702  |  9.886  |  0.702  |  0.702  
  0.702  |  9.921  |  0.702  |  0.702  
  0.702  |  9.956  |  0.702  |  0.702  
  0.696  |  9.991  |  0.694  |  0.697  
  0.702  | 10.026  |  0.702  |  0.702  
  0.699  | 10.061  |  0.700  |  0.697  
  0.702  | 10.096  |  0.700  |  0.703  
  0.699  | 10.131  |  0.697  |  0.700  
  0.705  | 10.166  |  0.705  |  0.705  
  0.693  | 10.201  |  0.693  |  0.693  
