CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.373  |  0.019  |  0.372  |  0.373  
  0.062  |  0.022  |  0.061  |  0.062  
  0.092  |  0.026  |  0.092  |  0.092  
  0.687  |  0.061  |  0.686  |  0.687  
  0.172  |  0.069  |  0.172  |  0.173  
  0.120  |  0.075  |  0.120  |  0.120  
  0.680  |  0.109  |  0.680  |  0.680  
  0.175  |  0.118  |  0.175  |  0.176  
  0.145  |  0.125  |  0.146  |  0.143  
  0.696  |  0.160  |  0.697  |  0.694  
  0.175  |  0.169  |  0.175  |  0.176  
  0.154  |  0.177  |  0.154  |  0.154  
  0.696  |  0.211  |  0.696  |  0.696  
  0.179  |  0.220  |  0.177  |  0.180  
  0.132  |  0.227  |  0.132  |  0.132  
  0.690  |  0.261  |  0.690  |  0.689  
  0.175  |  0.270  |  0.175  |  0.176  
  0.129  |  0.277  |  0.129  |  0.129  
  0.680  |  0.311  |  0.680  |  0.680  
  0.172  |  0.319  |  0.172  |  0.173  
  0.135  |  0.326  |  0.136  |  0.135  
  0.690  |  0.361  |  0.690  |  0.690  
  0.182  |  0.370  |  0.182  |  0.182  
  0.142  |  0.377  |  0.142  |  0.142  
  0.687  |  0.411  |  0.687  |  0.687  
  0.185  |  0.420  |  0.184  |  0.185  
  0.151  |  0.428  |  0.151  |  0.151  
  0.696  |  0.463  |  0.696  |  0.696  
  0.179  |  0.472  |  0.177  |  0.180  
  0.151  |  0.479  |  0.151  |  0.151  
  0.699  |  0.514  |  0.699  |  0.699  
  0.182  |  0.523  |  0.181  |  0.182  
  0.142  |  0.530  |  0.142  |  0.142  
  0.687  |  0.564  |  0.685  |  0.688  
  0.179  |  0.573  |  0.178  |  0.179  
  0.135  |  0.580  |  0.135  |  0.136  
  0.690  |  0.615  |  0.690  |  0.690  
  0.185  |  0.624  |  0.184  |  0.185  
  0.151  |  0.631  |  0.151  |  0.151  
  0.690  |  0.666  |  0.690  |  0.690  
  0.175  |  0.675  |  0.177  |  0.174  
  0.126  |  0.681  |  0.126  |  0.126  
  0.687  |  0.715  |  0.686  |  0.687  
  0.194  |  0.725  |  0.192  |  0.195  
  0.169  |  0.734  |  0.169  |  0.170  
  0.702  |  0.769  |  0.702  |  0.702  
  0.182  |  0.778  |  0.180  |  0.183  
  0.151  |  0.785  |  0.151  |  0.151  
  0.693  |  0.820  |  0.693  |  0.693  
  0.188  |  0.829  |  0.188  |  0.188  
  0.154  |  0.837  |  0.154  |  0.154  

received SIGINT Ctrl-C
