CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.108  |  0.005  |  0.109  |  0.106  
  0.317  |  0.021  |  0.317  |  0.317  
  0.508  |  0.047  |  0.508  |  0.508  
  0.640  |  0.079  |  0.640  |  0.641  
  0.708  |  0.114  |  0.708  |  0.708  
  0.739  |  0.151  |  0.739  |  0.739  
  0.736  |  0.188  |  0.736  |  0.736  
  0.739  |  0.225  |  0.739  |  0.739  
  0.727  |  0.261  |  0.726  |  0.727  
  0.711  |  0.297  |  0.711  |  0.711  
  0.705  |  0.332  |  0.705  |  0.705  
  0.696  |  0.367  |  0.696  |  0.696  
  0.696  |  0.401  |  0.696  |  0.696  
  0.702  |  0.437  |  0.702  |  0.702  
  0.693  |  0.471  |  0.693  |  0.693  
  0.699  |  0.506  |  0.699  |  0.699  
  0.702  |  0.541  |  0.702  |  0.702  
  0.705  |  0.576  |  0.705  |  0.705  
  0.702  |  0.612  |  0.702  |  0.702  
  0.696  |  0.646  |  0.696  |  0.696  
  0.699  |  0.681  |  0.699  |  0.699  
  0.705  |  0.717  |  0.705  |  0.705  
  0.693  |  0.751  |  0.693  |  0.693  
  0.702  |  0.786  |  0.702  |  0.702  
  0.699  |  0.821  |  0.699  |  0.699  
  0.705  |  0.857  |  0.705  |  0.705  
  0.708  |  0.892  |  0.708  |  0.708  
  0.696  |  0.927  |  0.696  |  0.696  
  0.702  |  0.962  |  0.702  |  0.702  
  0.699  |  0.997  |  0.699  |  0.699  
  0.693  |  1.031  |  0.693  |  0.693  
  0.705  |  1.067  |  0.705  |  0.705  
  0.696  |  1.101  |  0.696  |  0.696  
  0.702  |  1.137  |  0.702  |  0.702  
  0.699  |  1.171  |  0.699  |  0.699  
  0.702  |  1.207  |  0.702  |  0.702  
  0.705  |  1.242  |  0.705  |  0.705  
  0.699  |  1.277  |  0.699  |  0.699  
  0.702  |  1.312  |  0.702  |  0.702  
  0.693  |  1.346  |  0.693  |  0.693  
  0.699  |  1.381  |  0.699  |  0.699  
  0.702  |  1.417  |  0.702  |  0.702  
  0.699  |  1.451  |  0.699  |  0.699  
  0.699  |  1.486  |  0.699  |  0.699  
  0.699  |  1.521  |  0.699  |  0.699  
  0.702  |  1.556  |  0.702  |  0.702  
  0.708  |  1.592  |  0.708  |  0.708  
  0.696  |  1.627  |  0.696  |  0.696  
  0.702  |  1.662  |  0.702  |  0.702  
  0.696  |  1.697  |  0.696  |  0.696  
  0.705  |  1.732  |  0.705  |  0.705  
  0.702  |  1.767  |  0.702  |  0.702  
  0.696  |  1.802  |  0.696  |  0.696  
  0.702  |  1.837  |  0.702  |  0.702  
  0.699  |  1.872  |  0.699  |  0.699  
  0.699  |  1.907  |  0.699  |  0.699  
  0.702  |  1.942  |  0.702  |  0.702  
  0.699  |  1.977  |  0.699  |  0.699  
  0.699  |  2.012  |  0.699  |  0.699  
  0.705  |  2.047  |  0.705  |  0.705  
  0.696  |  2.082  |  0.696  |  0.696  
  0.708  |  2.117  |  0.708  |  0.708  
  0.696  |  2.152  |  0.696  |  0.696  
  0.702  |  2.187  |  0.702  |  0.702  
  0.696  |  2.222  |  0.696  |  0.696  
  0.702  |  2.257  |  0.702  |  0.702  
  0.702  |  2.292  |  0.702  |  0.702  
  0.696  |  2.327  |  0.696  |  0.696  
  0.702  |  2.362  |  0.702  |  0.702  
  0.702  |  2.397  |  0.702  |  0.702  
  0.696  |  2.432  |  0.696  |  0.696  
  0.699  |  2.467  |  0.699  |  0.699  
  0.705  |  2.502  |  0.705  |  0.705  
  0.696  |  2.537  |  0.696  |  0.696  
  0.705  |  2.572  |  0.705  |  0.705  
  0.696  |  2.607  |  0.696  |  0.696  
  0.699  |  2.642  |  0.699  |  0.699  
  0.708  |  2.677  |  0.708  |  0.708  
  0.696  |  2.712  |  0.696  |  0.696  
  0.708  |  2.747  |  0.708  |  0.708  
  0.693  |  2.782  |  0.693  |  0.693  
  0.702  |  2.817  |  0.702  |  0.702  
  0.702  |  2.852  |  0.702  |  0.702  
  0.696  |  2.887  |  0.696  |  0.696  
  0.702  |  2.922  |  0.702  |  0.702  
  0.730  |  2.958  |  0.730  |  0.730  
  0.659  |  2.991  |  0.659  |  0.659  
  0.696  |  3.026  |  0.696  |  0.696  
  0.702  |  3.061  |  0.702  |  0.702  
  0.705  |  3.097  |  0.705  |  0.705  
  0.711  |  3.132  |  0.711  |  0.711  
  0.699  |  3.167  |  0.699  |  0.699  
  0.705  |  3.202  |  0.705  |  0.705  
  0.696  |  3.237  |  0.696  |  0.696  
  0.702  |  3.272  |  0.702  |  0.702  
  0.699  |  3.307  |  0.699  |  0.699  
  0.693  |  3.342  |  0.693  |  0.693  
  0.705  |  3.377  |  0.705  |  0.705  
  0.693  |  3.412  |  0.693  |  0.693  
  0.702  |  3.447  |  0.702  |  0.702  
  0.708  |  3.482  |  0.708  |  0.708  
  0.696  |  3.517  |  0.696  |  0.696  
  0.702  |  3.552  |  0.702  |  0.702  
  0.699  |  3.587  |  0.699  |  0.699  
  0.705  |  3.622  |  0.705  |  0.705  
  0.696  |  3.657  |  0.696  |  0.696  
  0.693  |  3.692  |  0.693  |  0.693  
  0.708  |  3.727  |  0.708  |  0.708  
  0.696  |  3.762  |  0.696  |  0.696  
  0.702  |  3.797  |  0.702  |  0.702  
  0.699  |  3.832  |  0.699  |  0.699  
  0.699  |  3.867  |  0.699  |  0.699  
  0.702  |  3.902  |  0.702  |  0.702  
  0.699  |  3.937  |  0.699  |  0.699  
  0.699  |  3.972  |  0.699  |  0.699  
  0.708  |  4.007  |  0.708  |  0.708  
  0.693  |  4.042  |  0.693  |  0.693  
  0.705  |  4.077  |  0.705  |  0.705  
  0.702  |  4.112  |  0.702  |  0.702  
  0.699  |  4.147  |  0.699  |  0.699  
  0.702  |  4.182  |  0.702  |  0.702  
  0.702  |  4.217  |  0.702  |  0.702  
  0.696  |  4.252  |  0.696  |  0.696  
  0.696  |  4.287  |  0.696  |  0.696  
  0.696  |  4.357  |  0.696  |  0.696  
  0.699  |  4.392  |  0.699  |  0.699  
  0.708  |  4.428  |  0.708  |  0.708  
  0.696  |  4.462  |  0.696  |  0.696  
  0.699  |  4.497  |  0.699  |  0.699  
  0.696  |  4.532  |  0.696  |  0.696  
  0.702  |  4.567  |  0.702  |  0.702  
  0.696  |  4.602  |  0.696  |  0.696  
  0.699  |  4.637  |  0.699  |  0.699  
  0.702  |  4.672  |  0.702  |  0.702  
  0.702  |  4.707  |  0.702  |  0.702  
  0.702  |  4.742  |  0.702  |  0.702  
  0.702  |  4.777  |  0.702  |  0.702  
  0.702  |  4.812  |  0.702  |  0.702  
  0.696  |  4.847  |  0.696  |  0.696  
  0.705  |  4.882  |  0.705  |  0.705  
  0.696  |  4.917  |  0.696  |  0.696  
  0.702  |  4.952  |  0.702  |  0.702  
  0.705  |  4.988  |  0.705  |  0.705  
  0.696  |  5.022  |  0.696  |  0.696  
  0.702  |  5.057  |  0.702  |  0.702  
  0.705  |  5.093  |  0.705  |  0.705  
  0.693  |  5.127  |  0.693  |  0.693  
  0.702  |  5.162  |  0.702  |  0.702  
  0.696  |  5.197  |  0.696  |  0.696  
  0.702  |  5.232  |  0.702  |  0.702  
  0.705  |  5.268  |  0.705  |  0.705  
  0.696  |  5.302  |  0.696  |  0.696  
  0.702  |  5.337  |  0.702  |  0.702  
  0.696  |  5.372  |  0.696  |  0.696  
  0.699  |  5.407  |  0.699  |  0.699  
  0.705  |  5.442  |  0.705  |  0.705  
  0.693  |  5.477  |  0.693  |  0.693  
  0.705  |  5.512  |  0.705  |  0.705  
  0.702  |  5.547  |  0.702  |  0.702  
  0.696  |  5.582  |  0.696  |  0.696  
  0.705  |  5.617  |  0.705  |  0.705  
  0.699  |  5.652  |  0.699  |  0.699  
  0.702  |  5.687  |  0.702  |  0.702  
  0.696  |  5.722  |  0.696  |  0.696  
  0.702  |  5.757  |  0.702  |  0.702  
  0.699  |  5.792  |  0.699  |  0.699  
  0.699  |  5.827  |  0.699  |  0.699  
  0.702  |  5.862  |  0.702  |  0.702  
  0.705  |  5.898  |  0.705  |  0.705  
  0.696  |  5.932  |  0.696  |  0.696  
  0.702  |  5.967  |  0.702  |  0.702  
  0.693  |  6.002  |  0.693  |  0.693  
  0.702  |  6.037  |  0.702  |  0.702  
  0.708  |  6.073  |  0.708  |  0.708  
  0.696  |  6.107  |  0.696  |  0.696  
  0.702  |  6.142  |  0.702  |  0.702  
  0.699  |  6.177  |  0.699  |  0.699  
  0.696  |  6.212  |  0.696  |  0.696  
  0.705  |  6.247  |  0.705  |  0.705  
  0.693  |  6.282  |  0.693  |  0.693  
  0.702  |  6.317  |  0.702  |  0.702  
  0.699  |  6.352  |  0.699  |  0.699  
  0.708  |  6.388  |  0.708  |  0.708  
  0.705  |  6.423  |  0.705  |  0.705  
  0.699  |  6.458  |  0.699  |  0.699  
  0.699  |  6.493  |  0.699  |  0.699  
  0.693  |  6.527  |  0.693  |  0.693  
  0.702  |  6.562  |  0.702  |  0.702  
  0.696  |  6.597  |  0.696  |  0.696  
  0.705  |  6.632  |  0.705  |  0.705  
  0.702  |  6.668  |  0.702  |  0.702  
  0.699  |  6.702  |  0.699  |  0.699  
  0.702  |  6.738  |  0.702  |  0.702  
