CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.277  |  0.014  |  0.277  |  0.277  
  0.474  |  0.038  |  0.474  |  0.474  
  0.406  |  0.058  |  0.406  |  0.407  
  0.376  |  0.077  |  0.376  |  0.376  
  0.419  |  0.098  |  0.419  |  0.419  
  0.446  |  0.120  |  0.446  |  0.446  
  0.449  |  0.142  |  0.449  |  0.450  
  0.465  |  0.166  |  0.465  |  0.465  
  0.480  |  0.213  |  0.480  |  0.480  
  0.505  |  0.239  |  0.505  |  0.505  
  0.511  |  0.264  |  0.511  |  0.511  
  0.517  |  0.290  |  0.517  |  0.517  
  0.530  |  0.316  |  0.529  |  0.530  
  0.539  |  0.343  |  0.539  |  0.539  
  0.545  |  0.371  |  0.545  |  0.545  
  0.560  |  0.399  |  0.560  |  0.560  
  0.554  |  0.426  |  0.554  |  0.554  
  0.573  |  0.455  |  0.573  |  0.573  
  0.573  |  0.484  |  0.573  |  0.573  
  0.588  |  0.513  |  0.588  |  0.588  
  0.588  |  0.542  |  0.588  |  0.588  
  0.594  |  0.572  |  0.594  |  0.594  
  0.600  |  0.602  |  0.600  |  0.601  
  0.603  |  0.632  |  0.603  |  0.604  
  0.613  |  0.663  |  0.613  |  0.613  
  0.616  |  0.694  |  0.616  |  0.616  
  0.619  |  0.725  |  0.619  |  0.619  
  0.625  |  0.756  |  0.625  |  0.625  
  0.628  |  0.787  |  0.628  |  0.628  
  0.634  |  0.819  |  0.634  |  0.634  
  0.637  |  0.851  |  0.637  |  0.637  
  0.637  |  0.883  |  0.637  |  0.637  
  0.643  |  0.915  |  0.643  |  0.644  
  0.650  |  0.947  |  0.650  |  0.650  
  0.656  |  0.980  |  0.656  |  0.656  
  0.640  |  1.012  |  0.642  |  0.639  
  0.653  |  1.045  |  0.653  |  0.653  
  0.662  |  1.078  |  0.662  |  0.662  
  0.659  |  1.111  |  0.659  |  0.659  
  0.659  |  1.144  |  0.659  |  0.659  
  0.668  |  1.177  |  0.668  |  0.668  
  0.662  |  1.210  |  0.662  |  0.662  
  0.668  |  1.244  |  0.668  |  0.668  
  0.668  |  1.277  |  0.668  |  0.668  
  0.671  |  1.311  |  0.671  |  0.671  
  0.671  |  1.344  |  0.671  |  0.671  
  0.674  |  1.378  |  0.674  |  0.674  
  0.674  |  1.412  |  0.674  |  0.674  
  0.674  |  1.445  |  0.674  |  0.674  
  0.683  |  1.480  |  0.683  |  0.684  
  0.677  |  1.514  |  0.679  |  0.676  
  0.677  |  1.547  |  0.677  |  0.677  
  0.683  |  1.582  |  0.683  |  0.684  
  0.683  |  1.616  |  0.685  |  0.682  
  0.677  |  1.650  |  0.679  |  0.676  
  0.690  |  1.684  |  0.691  |  0.688  
  0.683  |  1.718  |  0.683  |  0.684  
  0.683  |  1.752  |  0.685  |  0.682  
  0.690  |  1.787  |  0.691  |  0.688  
