CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.363  |  0.018  |  0.363  |  0.363  
  0.043  |  0.020  |  0.043  |  0.043  
  0.105  |  0.026  |  0.105  |  0.105  
  0.419  |  0.046  |  0.417  |  0.420  
  0.376  |  0.065  |  0.375  |  0.376  
  0.597  |  0.095  |  0.597  |  0.597  
  0.656  |  0.128  |  0.656  |  0.656  
  0.702  |  0.163  |  0.702  |  0.702  
  0.844  |  0.205  |  0.844  |  0.844  
  0.791  |  0.245  |  0.791  |  0.791  
  0.797  |  0.285  |  0.797  |  0.797  
  0.776  |  0.323  |  0.776  |  0.776  
  0.687  |  0.358  |  0.686  |  0.687  
  0.699  |  0.393  |  0.699  |  0.699  
  0.631  |  0.424  |  0.631  |  0.631  
  0.634  |  0.456  |  0.634  |  0.634  
  0.650  |  0.488  |  0.650  |  0.650  
  0.653  |  0.521  |  0.653  |  0.653  
  0.696  |  0.556  |  0.696  |  0.696  
  0.702  |  0.591  |  0.702  |  0.702  
  0.727  |  0.627  |  0.727  |  0.727  
  0.742  |  0.664  |  0.742  |  0.742  
  0.727  |  0.701  |  0.726  |  0.727  
  0.733  |  0.737  |  0.733  |  0.733  
  0.708  |  0.773  |  0.708  |  0.708  
  0.699  |  0.808  |  0.699  |  0.699  
  0.690  |  0.842  |  0.690  |  0.690  
  0.677  |  0.876  |  0.677  |  0.677  
  0.687  |  0.910  |  0.686  |  0.687  
  0.677  |  0.944  |  0.677  |  0.677  
  0.699  |  0.979  |  0.699  |  0.699  
  0.693  |  1.014  |  0.693  |  0.693  
  0.705  |  1.049  |  0.705  |  0.705  
  0.717  |  1.085  |  0.717  |  0.717  
  0.699  |  1.120  |  0.699  |  0.699  
  0.720  |  1.156  |  0.720  |  0.720  
  0.702  |  1.191  |  0.702  |  0.702  
  0.702  |  1.226  |  0.702  |  0.702  
  0.705  |  1.261  |  0.705  |  0.705  
  0.687  |  1.296  |  0.686  |  0.687  
  0.705  |  1.331  |  0.705  |  0.705  
  0.687  |  1.365  |  0.687  |  0.687  
  0.696  |  1.400  |  0.696  |  0.696  
  0.702  |  1.435  |  0.702  |  0.702  
  0.693  |  1.470  |  0.693  |  0.693  
  0.720  |  1.506  |  0.720  |  0.720  
  0.677  |  1.540  |  0.677  |  0.677  
  0.717  |  1.576  |  0.717  |  0.717  
  0.702  |  1.611  |  0.702  |  0.702  
  0.687  |  1.645  |  0.687  |  0.687  
  0.717  |  1.681  |  0.717  |  0.717  
  0.690  |  1.715  |  0.690  |  0.690  
  0.702  |  1.750  |  0.702  |  0.702  
  0.705  |  1.786  |  0.705  |  0.705  
  0.690  |  1.820  |  0.690  |  0.690  
  0.714  |  1.856  |  0.714  |  0.714  
  0.690  |  1.890  |  0.690  |  0.690  
  0.699  |  1.925  |  0.699  |  0.699  
  0.708  |  1.961  |  0.708  |  0.708  
  0.687  |  1.995  |  0.687  |  0.686  
