CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.363  |  0.018  |  0.363  |  0.363  
  0.194  |  0.028  |  0.194  |  0.194  
  0.259  |  0.041  |  0.258  |  0.259  
  0.659  |  0.074  |  0.657  |  0.660  
  0.687  |  0.108  |  0.686  |  0.687  
  0.770  |  0.147  |  0.770  |  0.770  
  0.828  |  0.188  |  0.828  |  0.828  
  0.791  |  0.228  |  0.791  |  0.791  
  0.797  |  0.267  |  0.797  |  0.798  
  0.724  |  0.304  |  0.723  |  0.724  
  0.653  |  0.370  |  0.652  |  0.653  
  0.634  |  0.402  |  0.634  |  0.634  
  0.647  |  0.434  |  0.646  |  0.647  
  0.656  |  0.467  |  0.656  |  0.656  
  0.699  |  0.502  |  0.699  |  0.699  
  0.705  |  0.537  |  0.705  |  0.705  
  0.739  |  0.574  |  0.739  |  0.739  
  0.733  |  0.611  |  0.733  |  0.733  
  0.730  |  0.647  |  0.730  |  0.730  
  0.717  |  0.683  |  0.717  |  0.717  
  0.705  |  0.719  |  0.705  |  0.705  
  0.690  |  0.753  |  0.690  |  0.690  
  0.677  |  0.787  |  0.677  |  0.677  
  0.680  |  0.821  |  0.680  |  0.681  
  0.683  |  0.855  |  0.683  |  0.684  
  0.693  |  0.890  |  0.693  |  0.693  
  0.705  |  0.925  |  0.705  |  0.705  
  0.705  |  0.960  |  0.705  |  0.705  
  0.714  |  0.996  |  0.714  |  0.714  
  0.714  |  1.032  |  0.714  |  0.714  
  0.705  |  1.067  |  0.705  |  0.705  
  0.705  |  1.102  |  0.705  |  0.705  
  0.696  |  1.137  |  0.696  |  0.696  
  0.690  |  1.171  |  0.689  |  0.690  
  0.696  |  1.206  |  0.696  |  0.696  
  0.693  |  1.241  |  0.693  |  0.693  
  0.702  |  1.276  |  0.702  |  0.702  
  0.696  |  1.311  |  0.696  |  0.696  
  0.705  |  1.346  |  0.705  |  0.705  
  0.708  |  1.381  |  0.708  |  0.708  
  0.699  |  1.416  |  0.699  |  0.699  
  0.705  |  1.452  |  0.705  |  0.705  
  0.699  |  1.487  |  0.699  |  0.699  
  0.702  |  1.522  |  0.702  |  0.702  
  0.687  |  1.556  |  0.686  |  0.687  
  0.708  |  1.591  |  0.708  |  0.708  
  0.696  |  1.626  |  0.696  |  0.696  
  0.696  |  1.661  |  0.696  |  0.696  
  0.711  |  1.697  |  0.711  |  0.711  
  0.693  |  1.731  |  0.693  |  0.693  
  0.705  |  1.766  |  0.705  |  0.705  
  0.702  |  1.802  |  0.702  |  0.702  
  0.696  |  1.836  |  0.696  |  0.696  
  0.702  |  1.871  |  0.702  |  0.702  
  0.699  |  1.906  |  0.699  |  0.699  
  0.699  |  1.941  |  0.699  |  0.699  
  0.702  |  1.976  |  0.702  |  0.702  
  0.696  |  2.011  |  0.696  |  0.696  
  0.708  |  2.047  |  0.708  |  0.708  
