CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.062  |  0.001  |  0.062  |  0.062  
  0.216  |  0.003  |  0.223  |  0.208  
  0.323  |  0.006  |  0.316  |  0.331  
  0.292  |  0.009  |  0.292  |  0.292  
  0.262  |  0.012  |  0.262  |  0.262  
  0.200  |  0.014  |  0.208  |  0.192  
  0.231  |  0.016  |  0.231  |  0.231  
  0.262  |  0.018  |  0.254  |  0.269  
  0.262  |  0.021  |  0.269  |  0.254  
  0.262  |  0.024  |  0.269  |  0.254  
  0.246  |  0.026  |  0.246  |  0.246  
  0.246  |  0.029  |  0.239  |  0.254  
  0.246  |  0.031  |  0.246  |  0.246  
  0.277  |  0.034  |  0.277  |  0.277  
  0.231  |  0.039  |  0.231  |  0.231  
  0.231  |  0.039  |  0.231  |  0.231  
  0.246  |  0.044  |  0.254  |  0.239  
  0.277  |  0.047  |  0.277  |  0.277  
  0.246  |  0.049  |  0.239  |  0.254  
  0.292  |  0.052  |  0.292  |  0.292  
  0.246  |  0.055  |  0.246  |  0.246  
  0.292  |  0.058  |  0.300  |  0.285  
  0.246  |  0.060  |  0.254  |  0.239  
  0.277  |  0.063  |  0.269  |  0.285  
  0.246  |  0.065  |  0.239  |  0.254  
  0.308  |  0.069  |  0.316  |  0.300  
  0.262  |  0.071  |  0.269  |  0.254  
  0.277  |  0.074  |  0.277  |  0.277  
  0.277  |  0.077  |  0.277  |  0.277  
  0.277  |  0.079  |  0.277  |  0.277  
  0.277  |  0.082  |  0.277  |  0.277  
  0.277  |  0.085  |  0.269  |  0.285  
  0.262  |  0.088  |  0.269  |  0.254  
  0.277  |  0.090  |  0.285  |  0.269  
  0.292  |  0.093  |  0.285  |  0.300  
  0.292  |  0.096  |  0.292  |  0.292  
  0.292  |  0.099  |  0.292  |  0.292  
  0.277  |  0.102  |  0.277  |  0.277  
  0.246  |  0.104  |  0.254  |  0.239  
  0.323  |  0.108  |  0.323  |  0.323  
  0.277  |  0.110  |  0.269  |  0.285  
  0.277  |  0.113  |  0.285  |  0.269  
  0.292  |  0.116  |  0.292  |  0.292  
  0.308  |  0.119  |  0.308  |  0.308  
  0.292  |  0.122  |  0.292  |  0.292  
  0.277  |  0.125  |  0.269  |  0.285  
  0.308  |  0.128  |  0.316  |  0.300  
  0.262  |  0.133  |  0.254  |  0.269  
  0.308  |  0.137  |  0.316  |  0.300  
  0.308  |  0.140  |  0.308  |  0.308  
  0.323  |  0.143  |  0.323  |  0.323  
  0.277  |  0.146  |  0.269  |  0.285  
  0.292  |  0.149  |  0.300  |  0.285  
  0.308  |  0.152  |  0.308  |  0.308  
  0.323  |  0.155  |  0.323  |  0.323  
  0.292  |  0.158  |  0.292  |  0.292  
  0.308  |  0.161  |  0.308  |  0.308  
  0.292  |  0.164  |  0.300  |  0.285  
  0.323  |  0.167  |  0.323  |  0.323  
  0.308  |  0.170  |  0.308  |  0.308  
